id,nombre_generico,marca,imagen,orden,created_at,activo,id_categoria,tipo,formato,nombre_normalizado,ean
CAT-0001,Helado nata,null,null,1,null,true,107,marca_blanca,null,null,null
CAT-0002,Bebida láctea Omega 3 Puleva con leche desnatada,null,null,2,null,true,154,marca_fabricante,null,null,null
CAT-0003,"Aceite de oliva 0,4º",null,null,3,null,true,133,marca_blanca,null,null,null
CAT-0004,Aceite de oliva virgen extra Gran Selección,null,null,4,null,true,133,marca_blanca,null,null,null
CAT-0005,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,null,null,5,null,true,154,marca_fabricante,null,null,null
CAT-0006,Aceite de oliva 1º,null,null,6,null,true,133,marca_blanca,null,null,null
CAT-0007,Aceite de oliva virgen,null,null,7,null,true,133,marca_blanca,null,null,null
CAT-0008,Hierbas provenzales,null,null,8,null,true,136,marca_blanca,null,null,null
CAT-0009,Colorante alimentario,null,null,9,null,true,136,marca_blanca,null,null,null
CAT-0010,Licor de hierbas Jägermeister,null,null,10,null,true,96,marca_fabricante,null,null,null
CAT-0011,Batido de chocolate,null,null,11,null,true,154,marca_blanca,null,null,null
CAT-0012,Batido de chocolate 90% leche,null,null,12,null,true,154,marca_blanca,null,null,null
CAT-0013,Licor dulce Amaretto Del Patriarca,null,null,13,null,true,96,marca_fabricante,null,null,null
CAT-0014,Batido de chocolate 90% leche Puleva,null,null,14,null,true,154,marca_fabricante,null,null,null
CAT-0015,Batido de chocolate ColaCao Energy,null,null,15,null,true,154,marca_fabricante,null,null,null
CAT-0016,Fruta + leche tropical Bifrutas,null,null,16,null,true,99,marca_fabricante,null,null,null
CAT-0017,Fruta + leche caribe Don Simón sin azúcares añadidos y zero materia grasa,null,null,17,null,true,99,marca_fabricante,null,null,null
CAT-0018,Aceite de oliva virgen extra,null,null,18,null,true,133,marca_blanca,null,null,null
CAT-0019,Aceite de oliva virgen extra Picual Casa Juncal,null,null,19,null,true,133,marca_fabricante,null,null,null
CAT-0020,Vinagre de vino blanco,null,null,20,null,true,133,marca_blanca,null,null,null
CAT-0021,Vinagre de manzana,null,null,21,null,true,133,marca_blanca,null,null,null
CAT-0022,Limón exprimido,null,null,22,null,true,133,marca_blanca,null,null,null
CAT-0023,Crema de vinagre balsámico de Módena,null,null,23,null,true,133,marca_blanca,null,null,null
CAT-0024,Vinagre de Jerez reserva,null,null,24,null,true,133,marca_blanca,null,null,null
CAT-0025,Clavo en grano,null,null,25,null,true,136,marca_blanca,null,null,null
CAT-0026,Sazonador Topping,null,null,26,null,true,136,marca_blanca,null,null,null
CAT-0027,Leche semidesnatada,null,null,27,null,true,154,marca_blanca,null,null,null
CAT-0028,Leche desnatada Asturiana,null,null,28,null,true,154,marca_fabricante,null,null,null
CAT-0029,Leche en polvo desnatada,null,null,29,null,true,154,marca_fabricante,null,null,null
CAT-0030,Masa filo,null,null,30,null,true,137,marca_fabricante,null,null,null
CAT-0031,Reducción bálsamica de vinagre Pedro Ximénez,null,null,31,null,true,133,marca_blanca,null,null,null
CAT-0032,Vinagre balsámico de Módena,null,null,32,null,true,133,marca_blanca,null,null,null
CAT-0033,"Aceite de girasol refinado 0,2º",null,null,33,null,true,133,marca_blanca,null,null,null
CAT-0034,Aceite de coco virgen,null,null,34,null,true,133,marca_blanca,null,null,null
CAT-0035,Mayonesa,null,null,35,null,true,140,marca_blanca,null,null,null
CAT-0036,Mayonesa en sobres individuales,null,null,36,null,true,140,marca_blanca,null,null,null
CAT-0037,Ketchup,null,null,37,null,true,140,marca_blanca,null,null,null
CAT-0038,Ketchup en sobres individuales,null,null,38,null,true,140,marca_blanca,null,null,null
CAT-0039,Mostaza de Dijon,null,null,39,null,true,140,marca_blanca,null,null,null
CAT-0040,Bebida láctea con cereales crecimiento y desarrollo Puleva Max,null,null,40,null,true,154,marca_fabricante,null,null,null
CAT-0041,Leche +Proteínas desnatada,null,null,41,null,true,154,marca_blanca,null,null,null
CAT-0042,Bebida láctea crecimiento y desarrollo Puleva Max,null,null,42,null,true,154,marca_fabricante,null,null,null
CAT-0043,Sal fina,null,null,43,null,true,133,marca_blanca,null,null,null
CAT-0044,Sal fina de mesa,null,null,44,null,true,133,marca_blanca,null,null,null
CAT-0045,Sal yodada fina,null,null,45,null,true,133,marca_blanca,null,null,null
CAT-0046,Ajo granulado,null,null,46,null,true,136,marca_blanca,null,null,null
CAT-0047,Canela en rama,null,null,47,null,true,136,marca_blanca,null,null,null
CAT-0048,Nuez moscada molida,null,null,48,null,true,136,marca_blanca,null,null,null
CAT-0049,Café en grano descafeinado,null,null,49,null,true,125,marca_blanca,null,null,null
CAT-0050,Cebolla en polvo,null,null,50,null,true,136,marca_blanca,null,null,null
CAT-0051,Cayena guindillas,null,null,51,null,true,136,marca_blanca,null,null,null
CAT-0052,Allioli Chovi,null,null,52,null,true,140,marca_fabricante,null,null,null
CAT-0053,Leche entera fresca,null,null,53,null,true,154,marca_blanca,null,null,null
CAT-0054,Café soluble classic en sobres,null,null,54,null,true,125,marca_blanca,null,null,null
CAT-0055,Infusión Respir,null,null,55,null,true,132,marca_blanca,null,null,null
