score,id_ahorramas,nombre_ah,id_catalogo,nombre_cat
82.97872340425532,AH-99217,Yogur estilo griego Oikos pack 4 stracciatella,CAT-7055,Yogur Griego Stracciatella Danone Oikos Pack De 4 Unidades De 110 G
82.92682926829268,AH-98199,Picatostes fritos Alipende pack 2 150gr,CAT-2435,Picatostes fritos
82.92682926829268,AH-98218,Patatas fritas al punto de sal Lay´s 248g,CAT-4964,Patatas Fritas Al Punto De Sal Lays Sin Gluten 248 G
82.92682926829268,AH-98328,Refresco limón Fanta lata 33cl zero azúcares,CAT-1020,Refresco Fanta limón zero azúcares añadidos
82.92682926829268,AH-98362,Gaseosa La Casera 50cl,CAT-0242,Gaseosa La Casera grande
82.92682926829268,AH-98624,Vino tinto DO Toro Matsu El Pícaro,CAT-5126,Vino Tinto Tinta De Toro Matsu El Picaro Do Toro 75 Cl
82.92682926829268,AH-99269,Batido Alipende pack 6 vainilla200ml,CAT-2818,Batido sabor vainilla
82.92682926829268,AH-99408,Pipetas gato Dixie 2U Antiparasitario,CAT-7214,Pipetas Antiparasitarias Gato Fipronil Dixie 3X050 Ml
82.75862068965517,AH-98506,Vino tinto DO Rioja Antaño tempranillo,CAT-5698,Vino Tinto Joven Tempranillo Bardesano Doca Rioja 75 Cl
82.75862068965517,AH-98566,"Smoothie frambuesa,fresa y plátano 250ML",CAT-4000,Smoothie fresa y plátano
82.75862068965517,AH-98622,Refresco cola Coca-Cola lata 33cl light,CAT-0162,Refresco Coca-Cola light
82.75862068965517,AH-98676,Lomo de cerdo ibérico adobado,CAT-0649,Filetes lomo de cerdo adobado
82.75862068965517,AH-99264,Leche sin lactosa Asturiana 1l entera,CAT-3560,Leche entera sin lactosa
82.75862068965517,AM-51548,Cerveza rubia especial Mahou 5 Estrellas pack 12 latas 33cl,CAT-6788,Cerveza Mahou Cinco Estrellas Pack 12 Latas 33 Cl
82.70676691729324,AH-99443,Postre Nestlé Yogolino plátano desde 6meses pack 4 (desde 6 meses),CAT-7063,Postre Lacteo De Platano Desde 6 Meses Nestle Yogolino Sin Gluten Pack De 4 Unidades De 100 G
82.6086956521739,AH-98507,Whisky Ballantine's 70cl,CAT-2374,Whisky escocés Ballantine's
82.6086956521739,AH-98641,Sidra Asturiana Mayador 75cl,CAT-0940,Sidra asturiana El Mayu
82.6086956521739,AH-98655,LOTE 2kg de jamoncitos de pollo,CAT-0578,Jamoncitos de pollo
82.6086956521739,AH-99028,Salpicón de marisco Angomar 180g,CAT-2599,Salpicón de marisco
82.53968253968253,AH-98166,Pan The Rustik Bakery 400g Integral,CAT-4374,Hogaza Integral 84 The Rustik Bakery 400 G
82.5,AH-98425,Vino tinto DO Rioja Tejar Viejo crianza,CAT-4481,Vino Tinto Crianza Campo Viejo Doca Rioja 75 Cl
82.35294117647058,AH-98249,Caldo de pollo Aneto 750+250ml,CAT-1991,Caldo de pollo
82.35294117647058,AH-98354,"Agua mineral Solan de Cabras 0,5l pack 6 unidades",CAT-0632,Agua mineral grande Solán de Cabras
82.35294117647058,AH-98465,Vino blanco albariño DO Rias Baixas Torre de Ermelo,CAT-2049,Vino blanco albariño Pazo de Orantes DO Rías Baixas
82.35294117647058,AH-98766,Lenguado Rubio Gordo,CAT-3721,Lenguado rubio
82.35294117647058,AH-99189,Helado Magnum classic 3 uds,CAT-6201,Bombon Helado Magnum Classic 3 Ud
82.35294117647058,AH-99440,Pañal Dodot talla 4 78 uds,CAT-7398,Panales Dodot T3 7 11 Kg 112 Ud
82.22222222222221,AH-98233,Sardinillas en aceite de oliva bajas en sal Alipende 2 unidades 62g,CAT-2101,Sardinillas reducidas en sal en aceite de oliva
82.1917808219178,AH-98403,Refresco cola Coca-Cola botella 50cl zero azúcar,CAT-0883,Refresco Coca-Cola Zero azúcar
82.1917808219178,AH-99366,Snack perro Friskies Funtastix 175g,CAT-8544,Snack Para Perros Purina Friskies Funtastix 175 G
81.9672131147541,AH-98503,Vino tinto Tagonius tempranillo,CAT-2479,Vino tinto tempranillo Elegido
81.9672131147541,AH-98791,Bacon ahumado en lonchas Oscar Mayer 150g,CAT-1741,Bacón Oscar Mayer lonchas
81.92771084337349,AH-99018,Filetes de anchoa con aceite de oliva Arteiñaki 60g,CAT-0656,Filetes de anchoa en aceite de oliva
81.92771084337349,AH-99182,Helado cono extreme con sabor a peanuts y caramel 6 unidades,CAT-8939,Cono Helado Peanut Caramel Extreme 6 Ud
81.92771084337349,AM-77576,Refresco cola Coca-Cola botella 2l pack 2 zero azúcar,CAT-8788,Coca Cola Zero Azucar Pack 2 Botellas 2 L
81.9047619047619,AH-99558,Suavizante concentrado Mimosín Rosas 50 lavados,CAT-6471,Suavizante Concentrado Rosas Silvestres Origins Mimosin 50 Lavados
81.81818181818181,AH-98244,Patatas fritas onduladas sabor jamón Ruffles 243g,CAT-0301,Patatas fritas onduladas sabor jamón serrano
81.81818181818181,AH-98371,Refresco de té con limón sin azúcar Fuze Tea 33cl lata,CAT-7245,Fuze Tea Te Sabor Limon Sin Azucar Lata 33 Cl
81.81818181818181,AH-98810,Champiñón laminado bandeja 300 g,CAT-3181,Champiñón laminado
81.55339805825243,AH-98450,Vino tinto DO Ribera del Duero Matarromera crianza,CAT-1109,Vino tinto reserva Abadía Mantrús DO Ribera del Duero
81.4814814814815,AH-98160,Aceite de oliva virgen Carbonell 3l,CAT-0007,Aceite de oliva virgen
81.4814814814815,AH-98186,Panecillo tostado Alipende 160g con ajo,CAT-3734,Pan tostado con ajo y perejil
81.4814814814815,AH-98699,Chuleta de aguja de cerdo duroc,CAT-1521,Chuletas aguja de cerdo
81.4814814814815,AH-98879,Queso de cabra en lonchas Pastor 125g,CAT-1547,Queso lonchas de cabra
81.4814814814815,AH-98883,Piña natural en rodajas Freshkia 475g,CAT-3482,Piña natural a rodajas
81.41592920353982,AH-99431,Comida húmeda gato Gourmet Gold mousse pescado 85g,CAT-8952,Comida Humeda Mousse Pescado Para Gato Adulto Purina Gourmet Gold 8X85 G
81.35593220338984,AH-98142,Chocolate negro sin gluten Alipende 100g 85% de cacao,CAT-1944,Chocolate negro 72% de cacao
81.35593220338984,AH-98206,Tomate seco en aceite Leyenda 110g,CAT-3197,Tomate seco en aceite de oliva
81.35593220338984,AH-98307,Café molido La Estrella natural 250g,CAT-3024,Café molido natural Espresso
81.35593220338984,AH-98502,Whisky White Label 70cl Escocia,CAT-4050,Whisky Dewars White Label Escoces 70 Cl
81.35593220338984,AH-98652,LOTE 2kg de contramuslos de pollo,CAT-2793,Contramuslos de pollo sin piel
81.35593220338984,AH-98997,Paté tapa negra La Piara 3x75g,CAT-0563,Paté de cerdo La Piara tapa negra
81.31868131868131,AH-99233,Flan de huevo Dhul pack 4 al baño maria,CAT-4135,Flan De Huevo Al Bano Maria Dhul Sin Gluten Pack De 4 Unidades De 110 G
81.30081300813008,AH-98393,Vino blanco barbadillo castillo San Diego Palomino Fino Cádiz,CAT-4341,Vino Blanco Joven Palomino Fina Castillo De San Diego Vt Cadiz 75 Cl
81.25,AH-98303,Tortas de aceite Alipende 180g,CAT-1851,Pastas de aceite
81.25,AH-98400,Cerveza sin alcohol Mahou lata 33cl,CAT-4454,Cerveza Saer Brau Sin Alcohol Lata 33 Cl
81.25,AH-98498,Vino tinto Roja Otoñal 75CL Reserva,CAT-4940,Vino Tinto Reserva Cune Doca Rioja 75 Cl
81.25,AH-98539,Bebida energética Red Bull 25cl,CAT-8504,Red Bull Bebida Energetica Sandia Lata 25 Cl
81.25,AH-98795,Queso crema de queso azul Président 125g,CAT-7891,Crema Al Queso Azul President 125 G
81.25,AH-99175,Helado en tarrina Alipende 900ml tres chocolates,CAT-3164,Tarta tres chocolates congelada
81.1881188118812,AH-99041,Pechuga pavo bajo en grasa lonchas finas ElPozo 115g,CAT-5223,Pechuga De Pavo En Lonchas Elpozo Las  Finas Sin Gluten 115 G
81.15942028985508,AH-99145,Helado sandwich Alipende 690ml 6 uds vainila choco,CAT-2005,Helado mini sándwich vainilla y cookie
80.95238095238095,AH-98516,Ginebra Seagram's 70cl,CAT-1027,Ginebra Dry Gin Seagram's
80.95238095238095,AH-98718,Traseros de pollo,CAT-0569,Cuartos traseros de pollo
80.95238095238095,AH-98912,Patata blanca guarnición 1kg,CAT-3511,Patatas guarnición
80.8080808080808,AH-98613,Vino tinto DO Ribera del Duero Saga crianza,CAT-5203,Vino Tinto Crianza Tempranillo Duron Do Ribera Del Duero 75 Cl
80.76923076923077,AH-98335,Vino blanco Don Simón brik pack 3,CAT-2012,Vino blanco Don Simón
80.76923076923077,AH-98454,Cerveza rubia Voll Damm botella 33cl,CAT-7247,Cerveza Rubia 1870 Botella 33 Cl
80.76923076923077,AH-98873,Queso semicurado en lonchas Alipende 200g,CAT-1788,Queso semicurado de oveja
80.73394495412845,AH-98584,Vino tinto D.O Rivera del Duero Figuero 75cl Tempranillo,CAT-7473,Vino Tinto Joven Tempranillo Enrique I  Do Ribera Del Duero 75 Cl
80.70175438596492,AH-98708,Chuletas de cordero recental,CAT-0669,Chuletas de cordero paletilla
80.70175438596492,AH-98733,Queso mezcla semicurado Campo Real,CAT-1201,Queso semicurado mezcla
80.70175438596492,AH-99520,"Leche Asturiana 1,5l semidesnatada",CAT-3238,Leche semidesnatada de cabra
80.70175438596492,AH-99534,Pañal Dodot sensitive 48 unidades talla 4 (de 9 a 14 kg),CAT-4688,Panales Dodot Sensitive T6 14 Kg 41 Ud
80.59701492537313,AH-98461,Vino tinto DO Rioja Vivanco crianza 75cl,CAT-2536,Vino tinto crianza Cune DO Rioja
80.59701492537313,AM-85555,Zumo de naranja 100% exprimida sin pulpa Alipende 1L,CAT-1660,Zumo de naranja recién exprimido
80.55555555555556,AH-99199,Helado Calippo Frigo lima-limón 5 uds,CAT-4545,Helado De Lima Limon Calippo Sin Gluten 5 Ud
80.51948051948052,AH-98987,Queso Fundido En Lonchas El Caserío 14 Unidades,CAT-4876,Queso Fundido En Lonchas Carrefour Classic 555 G
80.48780487804879,AH-99200,Helado Magnum after dinner frac 8 uds,CAT-8228,Helado Bombom Magnum After Dinner Frac Sin Gluten 8 Ud
80.43478260869566,AH-99070,Frutos Rojos congelados de Congelados de Navarra 300g,CAT-8975,Mezcla De Frutos Rojos Congelados De Navarra 300 G
80.41237113402062,AH-98285,Pasta fresca ravioli relleno de calabaza Rana 250g,CAT-1777,Pasta fresca ravioli rellena de calabaza con cebolla
80.37383177570094,AH-98941,Jamón serrano gran reserva sin aditivos Loriente 100g,CAT-1085,Jamón serrano gran reserva Costa Brava sin aditivos lonchas
80.0,AH-98205,Garbanzo Alipende 1kg lechoso,CAT-1621,Garbanzo lechoso Andaluz
80.0,AH-98367,Vino blanco DO Rueda Saga verdejo,CAT-3012,Vino blanco verdejo Arribeño DO Rueda
80.0,AH-98447,Bebida energética Zero Sugar Monster Green 50cl Lata,CAT-1031,Bebida energética Energy Ultra zero Monster
80.0,AH-98671,Pechuga de pollo,CAT-2772,Filetes pechuga de pollo
80.0,AH-98677,Manzana roja,CAT-3079,Manzana roja dulce
80.0,AH-98885,Patata para freír bolsa 2kg,CAT-3513,Patatas especial para freir
80.0,AH-99136,Helado cono Alipende 6 uds vainilla y chocolate,CAT-3162,"Helado 3 sabores chocolate, vainilla y fresa"
80.0,AH-99278,Yogur proteínas alipende 4 unidades stracciatella,CAT-0726,Yogur griego stracciatella
80.0,AH-99302,Batido Alipende pack 6 fresa 200ml,CAT-2819,Batido sabor fresa
