id_catalogo,nombre_cat,categoria,n_supers,tiene_mercadona,tiene_dia,tiene_alcampo,tiene_carrefour,tiene_ahorramas
CAT-9020,Pilas Alcalinas Carrefour Itech Aaalr03 Paquete 32,Bazar y Varios,0,False,False,False,False,False
CAT-9053,Mini Sticks De Chorizo Carrefour Sensation Sin Gluten 50 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9054,Mini Fuet Carrefour El Mercado Sin Gluten 50 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9055,Fuet Espetec Carrefour Classic Sin Gluten Pack De 2 Unidades De 170 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9069,Mousse De Pato Carrefour Sin Gluten 90 G,Lácteos y Huevos,0,False,False,False,False,False
CAT-9074,Mortadela Carrefour El Mercado Sin Gluten Pieza De 800 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9075,Fiambre De Cerdo Cocido En Lonchas Sandwich Carrefour El Mercado Sin Gluten 450 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9076,Bacon En Lonchas Carrefour El Mercado Sin Gluten 200 G,Carnicería y Charcutería,0,False,False,False,False,False
CAT-9094,Tarrito De Guiso De Garbanzo Con Pollo Y Ternera Desde 6 Meses Nutriben Potitos 235 G,Despensa,0,False,False,False,False,False
CAT-9196,Zumo De Clementinas Carrefour Extra Exprimido Brik 1 L,Bebidas,0,False,False,False,False,False
CAT-9238,Arroz Tres Delicias Carrefour El Mercado 350 G,Despensa,0,False,False,False,False,False
CAT-9268,Discos Desmaquillantes Con Aloe Vera Carrefour 70 Ud,Cuidado personal e Higiene,0,False,False,False,False,False
CAT-9502,Zumo De Naranja Recien Exprimido Con Pulpa Carrefour Seleccion Botella 1 L,Bebidas,0,False,False,False,False,False
CAT-9516,Refresco De Manzana Carrefour Classic Botella 15 L,Bebidas,0,False,False,False,False,False
CAT-9613,Toallitas Para Bebe Sin Perfume Ecologicas Carrefour Bio 64 Ud,Cuidado personal e Higiene,0,False,False,False,False,False
CAT-9622,Zumo De Fruta Y Leche Carrefour Tropical Sin Lactosa Pack De 6 Briks De 20 Cl,Bebidas,0,False,False,False,False,False
CAT-9644,Pizza De Peperoni Ahumado Carrefour 320 G,Bebidas,0,False,False,False,False,False
CAT-9651,Ambientador De Varillas Colonia Carrefour 45 Ml,Cuidado personal e Higiene,0,False,False,False,False,False
CAT-9682,Salteado De Quinoa Y Lentejas Con Verduras Y Pollo Ultracongelado Extra Carrefour 450 G,Despensa,0,False,False,False,False,False
CAT-9693,Discos Desmaquillantes Doble Cara Carrefour 110 Ud,Cuidado personal e Higiene,0,False,False,False,False,False
