id_catalogo,nombre_cat,categoria,super_1,nombre_1,super_2,nombre_2
CAT-7771,Empanada Rectangular De Pollo Con Champinones El Mercado 700 G,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Empanada Rectangular De Pollo Con Champinones El Mercado 700 G
CAT-7792,Gel Lubricante Intimo Vagisil 30 G,Sin categoría,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Gel Lubricante Intimo Vagisil 30 G
CAT-8016,Vino Tinto Crianza Tempranillo Altos De Tamaron Do Ribera Del Duero 75 Cl,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",DIA,Vino tinto crianza D.O. Ribera del Duero Altos del Tamarón 75 cl
CAT-8037,Cerveza Alhambra Reserva 1925 Pack De 12 Botellas De 33 Cl,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cerveza Alhambra Reserva 1925 Pack De 12 Botellas De 33 Cl
CAT-4120,Sardinas Picantonas Albo 120 G,Sin categoría,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",DIA,Sardinas picantes Albo 85 g
CAT-4249,Vino Blanco Moscatel De Alejandria Ecologico Vina Esmeralda Do Penedes 75 Cl,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Vino Blanco Moscatel De Alejandria Ecologico Vina Esmeralda Do Penedes 75 Cl
CAT-4561,Margarina Con Sal Tulipan Sin Gluten Y Sin Lactosa 400 G,Lácteos y Huevos,Mercadona,Sal fina Hacendado,Carrefour,Margarina Con Sal Tulipan Sin Gluten Y Sin Lactosa 400 G
CAT-4826,Tonica Royal Bliss Aromatic Berry Botella 20 Cl,Bebidas,Mercadona,Bebida láctea desnatada sabor stracciatella +Proteínas Hacendado 0% azúcares añadidos 20 g proteínas,DIA,Tónica aromatic berry Royal Bliss 250 ml
CAT-4925,Mix Berlinas Dots 4 Ud,Sin categoría,Mercadona,Polvos voluminizador para el cabello Volum Fix Deliplus mate fijación 4,Carrefour,Mix Berlinas Dots 4 Ud
CAT-5100,Nectar De Pomelo Rosa Granini Seleccion Botella 1 L,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Alcampo,GRANINI Néctar de pomelo rosa 1 l.
CAT-5228,Agua Con Gas Maison Perrier Sabor Limon 50 Cl,Bebidas,Mercadona,"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",Alcampo,MAISON PERRIER Forever lemon Agua con gas sabor limón 50 cl.
CAT-5669,Cafe Capsulas Espresso Descafeinado Ristretto Lor Compatible Con Nespresso 20 Ud,Desayuno y Snack,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Cafe Capsulas Espresso Descafeinado Ristretto Lor Compatible Con Nespresso 20 Ud
CAT-5670,Bacalao 3 Kg Aprox,Pescadería,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Bacalao 3 Kg Aprox
CAT-5747,Agua Con Gas Sabor Limon San Pellegrino Lata 33 Cl,Bebidas,Mercadona,Snack Balls sabor queso Hacendado,DIA,Limonada con gas San Pellegrino 330 ml
CAT-5822,Ensalada De Queso De Cabra Diquesi 145 G,Lácteos y Huevos,Mercadona,Mostaza de Dijon Hacendado,Carrefour,Ensalada De Queso De Cabra Diquesi 145 G
CAT-5856,Salchichas King El Pozo Sin Gluten 330 G,Carnicería y Charcutería,Mercadona,Fruta + leche caribe Don Simón sin azúcares añadidos y zero materia grasa,Carrefour,Salchichas King El Pozo Sin Gluten 330 G
CAT-5929,Nct Saz Nja Disf Dsimon 15,Sin categoría,Mercadona,Perfilador de labios Long Lasting Deliplus 15 canela claro,Carrefour,Nct Saz Nja Disf Dsimon 15
CAT-6098,Aquarius Bebida Isotonica Sabor Limon Pack De 2 Botellas De 15 L,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Aquarius Bebida Isotonica Sabor Limon Pack De 2 Botellas De 15 L
CAT-6305,Bebida De Fruta Mango Y Maracuya Capri Sun Bolsita De 33 Cl ,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Bebida De Fruta Mango Y Maracuya Capri Sun Bolsita De 33 Cl 
CAT-6369,Crema Reparadora De Urea Extra Hidratante Para Piel Seca Instituto Espanol 400 Ml,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Crema Reparadora De Urea Extra Hidratante Para Piel Seca Instituto Espanol 400 Ml
CAT-6803,Sidra El Gaiter Sin Gluten 75 Cl,Sin categoría,Mercadona,Fruta + leche caribe Don Simón sin azúcares añadidos y zero materia grasa,Carrefour,Sidra El Gaiter Sin Gluten 75 Cl
CAT-6563,Vino Tinto Roble Tempranillo Celeste Do Ribera Del Duero 75 Cl,Bebidas,Mercadona,Licor dulce Amaretto Del Patriarca,DIA,Vino tinto roble D.O. Ribera del Duero Altos de Tamarón 75 cl
CAT-6694,Empanada Rectangular De Atun 700 G,Sin categoría,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,Carrefour,Empanada Rectangular De Atun 700 G
CAT-7034,Roscos De Pan Almontenos 130 G,Panadería y Pastelería,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,Carrefour,Roscos De Pan Almontenos 130 G
CAT-8164,Pechuga De Pavo Cocida Asada Al Horno En Lonchas Natur Rte Campofrio Sin Gluten Y Sin Lactosa 90 G,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Pechuga De Pavo Cocida Asada Al Horno En Lonchas Natur Rte Campofrio Sin Gluten Y Sin Lactosa 90 G
CAT-8234,Crema De Queso Cheddar President 125 G,Lácteos y Huevos,Mercadona,Vino tinto tempranillo Cepas Viejas Señorío de los Llanos DO Valdepeñas,Carrefour,Crema De Queso Cheddar President 125 G
CAT-8317,Rosado De Verano Penascal Lata 33 Cl,Sin categoría,Mercadona,Reducción bálsamica de vinagre Pedro Ximénez Hacendado,Carrefour,Rosado De Verano Penascal Lata 33 Cl
CAT-8380,Loncheado De Jamon De Cebo 50 Raza Iberica Altorreal 150 G,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Loncheado De Jamon De Cebo 50 Raza Iberica Altorreal 150 G
