categoria,subcategoria,super,id_catalogo,nombre_cat,nombre_super,precio,mediana_grupo,desv_sigma
Sin categoría,Otros,Mercadona,CAT-8706,Gambon Crudo Carrefour Extra Congelado 2 Kg,Alistado pequeño congelado,2227.5,3.0,31.4
Carnicería y Charcutería,Charcuteria,Mercadona,CAT-1111,Jamón de bellota ibérico 100% Covap,Jamón de bellota ibérico 100% Covap,504.0,2.6,16.8
Pescadería,Pescado,Mercadona,CAT-3172,Morralla,Morralla,787.05,10.5,14.2
Congelados,Platos congelados preparados,Mercadona,CAT-0978,Alistado pequeño congelado,Alistado pequeño congelado,2227.5,3.4,13.7
Carnicería y Charcutería,Charcuteria,Carrefour,CAT-5638,Maletin De Jamon De Cebo Iberico 50 Raza Iberica En Lonchas El Pozo Sin Gluten Y Sin Lactosa 15 Sobres De 50 G,Maletin De Jamon De Cebo Iberico 50 Raza Iberica En Lonchas El Pozo Sin Gluten Y Sin Lactosa 15 Sobres De 50 G,49.0,2.38,9.5
Congelados,Platos congelados preparados,Carrefour,CAT-3022,Pulpo crudo congelado,Pulpo Crudo Entero Congelado Carrefour 1350 G,24.2,4.2,8.4
Congelados,Platos congelados preparados,Mercadona,CAT-3157,Gambón congelado,Gambón congelado,1282.05,3.4,7.9
Sin categoría,Otros,Carrefour,CAT-6168,Bateria De Cocina Acero Inoxidable San Ignacio Lexia 9 Piezas,Bateria De Cocina Acero Inoxidable San Ignacio Lexia 9 Piezas,59.9,4.35,7.5
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Carrefour,CAT-5045,Batido Vainilla Fuerza Y Vitalidad Meritene Sin Gluten 15 Sobres,Batido Vainilla Fuerza Y Vitalidad Meritene Sin Gluten 15 Sobres,23.8,1.5,7.3
Hogar,Lavavajillas,Mercadona,CAT-8613,Limpiamaquinas Finish Pack De 2 Unidades De 250 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.75,6.6
Desayuno y Snack,Té e infusiones,Mercadona,CAT-6778,Ambientador De Varillas Infusion Naranja Canela Ambar Botanic 75 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.4,6.2
Desayuno y Snack,Cereales para desayuno,Mercadona,CAT-4820,Copos De Cereales Chocolateados  Carrefour Kids 500 G,"Aceite de oliva 0,4º Hacendado",19.75,2.1,5.9
Bebidas,Vino,Carrefour,CAT-6197,Caja De 6 Botellas De Vino Tinto Crianza Otonal Do Ca Rioja 75 Cl,Caja De 6 Botellas De Vino Tinto Crianza Otonal Do Ca Rioja 75 Cl,30.9,5.4,5.7
Lácteos y Huevos,Yogures,Carrefour,CAT-8457,Leche Infantil Para Lactantes En Polvo Danone Bledina 1 Lata 800 G,Leche Infantil Para Lactantes En Polvo Danone Bledina 1 Lata 800 G,15.85,2.32,5.6
Carnicería y Charcutería,Pollo,Carrefour,CAT-8215,Pienso De Pollo Para Gato Adulto Ultima Cat 75 Kg,Pienso De Pollo Para Gato Adulto Ultima Cat 75 Kg,43.4,5.25,5.5
Sin categoría,Otros,Carrefour,CAT-6464,Kit Blanqueamiento Dental White Flash Lacer Blanc 1 Ud,Kit Blanqueamiento Dental White Flash Lacer Blanc 1 Ud,44.2,4.35,5.4
Bebidas,Refrescos,Carrefour,CAT-5958,Comida Humeda En Gelatina Seleccion De Sabores Para Gatos Adultos Purina Felix Fantastic 44X85 G,Comida Humeda En Gelatina Seleccion De Sabores Para Gatos Adultos Purina Felix Fantastic 44X85 G,22.9,2.29,5.3
Sin categoría,Otros,Carrefour,CAT-5970,Crema Anti Estrias Trofolastin 400 Ml,Crema Anti Estrias Trofolastin 400 Ml,43.1,4.35,5.3
Cuidado personal e Higiene,Cuidado del cabello,Carrefour,CAT-7693,Ampollas Anticaida Pilexil 15 Ud,Ampollas Anticaida Pilexil 15 Ud,43.5,6.95,5.3
Lácteos y Huevos,"Leche y bebidas ""lácteas""",DIA,CAT-4428,Leche Desnatada Vita Calcio Puleva Brik 1 L,Leche desnatada calcio Puleva pack 6 x 1 L,9.54,1.59,5.2
Cuidado personal e Higiene,Cuidado del cabello,Carrefour,CAT-9576,Complemento Alimenticio Para El Cabello Y Las Unas En Capsulas Pilexil Capsulas 150 Ud,Complemento Alimenticio Para El Cabello Y Las Unas En Capsulas Pilexil Capsulas 150 Ud,41.9,6.95,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-5233,Surtido De Helados Caramel Collection Hagen Dazs 4 Uds,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-7076,Surtido De Helados Fruit Collection Hagen Dazs Sin Gluten 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-8193,Bombones Helados De Frambuesa Banada En Chocolate Blanco Y Negro Franui Sin Gluten 150 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-5162,Surtido De Helados Macadamia Hagen Dazs Sin Gluten 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-5234,Surtido De Helados Vanilla Collection Hagen Dazs 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Despensa,Azúcares y edulcorantes,Carrefour,CAT-5546,Leche Infantil De Crecimiento Desde 1 Ano Nutriben Innova Sin Azucar Anadido Lata 800 G,Leche Infantil De Crecimiento Desde 1 Ano Nutriben Innova Sin Azucar Anadido Lata 800 G,24.8,2.79,5.0
