score,id_carrefour,nombre_cr,id_catalogo,nombre_cat
82.96296296296296,CF-426427,Tratamiento Intensivo En Ampollas Repara  Protege Pantene Pro V Pack 3 Unidades 15 Ml,CAT-3215,Ampollas tratamiento intensivo Repara & Protege Pantene cabello dañado
82.92682926829268,CF-329063,Protegeslip Maxi Evax 40 Ud,CAT-3403,Protegeslip maxi Dry
82.92682926829268,CF-681470,Queso Emmental Taco Carrefour 250 G,CAT-1275,Queso emmental de vaca
82.88288288288288,CF-371222,Tortitas De Arroz Integrales Con Chocolate Blanco Aroma Yogur Carrefour 130 G,CAT-0961,Tortitas de arroz con chocolate blanco sabor yogur
82.85714285714285,CF-235430,Whisky Johnnie Walker Escoces 1 L,CAT-1060,Whisky escocés Black Label Johnnie Walker
82.75862068965517,CF-231395,Leche Entera Carrefour Brik 1 L,CAT-3558,Leche entera
82.75862068965517,CF-775314,Tomate Frito Carrefour Brik 390 G,CAT-0065,Tomate frito
82.75862068965517,CF-356742,Zumo De Pina Carrefour Brik 1 L,CAT-4003,Zumo de piña
82.75862068965517,CF-436281,Dentifrico Infantil De Mas De 7 Anos Carrefour 75 Ml,CAT-1478,Dentífrico infantil + 2 años
82.66666666666667,CF-759476,Discos Desmaquillantes Con Aloe Vera Carrefour 70 Ud,CAT-3339,Discos desmaquillantes ovalados algodón 100%
82.6086956521739,CF-705739,Leche Entera Fresca Carrefour Botella 1 L,CAT-0053,Leche entera fresca
82.6086956521739,CF-236780,Cafe Molido Natural Carrefour Classic 250 G,CAT-2678,Café molido natural
82.6086956521739,CF-381651,Filetes De Anchoa En Aceite De Girasol Classic Carrefour Pack 3 Unidades De 29 G,CAT-0655,Filetes de anchoa en aceite de girasol
82.6086956521739,CF-494706,Vino Blanco Albarino Vinabade Do Rias Baixas 75 Cl,CAT-0525,Vino blanco albariño Ponte Tamuxe DO Rías Baixas
82.56880733944953,CF-606137,Filetes De Caballa Del Sur En Aceite De Oliva Classic Carrefour Pack De 2 Unidades De 65 G,CAT-1805,Filetes de caballa del sur en aceite de oliva
82.56880733944953,CF-814465,Desodorante En Spray Antitranspirante Invisible Pure Rexona 200 Ml,CAT-0129,Desodorante roll-on Invisible men antitranspirante
82.53968253968253,CF-488058,Aceitunas Verdes Manzanilla Sin Hueso Carrefour 400 G,CAT-1103,Aceitunas verdes sin hueso
82.53968253968253,CF-554487,Cepillo Interdental Micro Interprox 6 Ud,CAT-2581,Cepillos interdentales Micro
82.5,CF-358313,Aquarius Bebida Isotonica Sabor Naranja Botella 50 Cl,CAT-0746,Bebida isotónica naranja Aquarius
82.5,CF-546274,Lomos De Bacalao Ultracongelado Pescanova 300 G,CAT-1930,Lomo de bacalao MareDeus ultracongelado
82.4742268041237,CF-019905,Desodorante Roll On Dry Impact Nivea Men 50 Ml,CAT-3251,Desodorante roll-on Dry impact Nivea Men antitranspirante
82.35294117647058,CF-696577,Tortillas De Trigo Sensation Carrefour 10 Ud,CAT-1433,Mini tortillas de trigo
82.35294117647058,CF-228296,Lentejas A La Riojana Original Carrefour 430 G,CAT-0994,Lentejas a la riojana
82.35294117647058,CF-050205,Repollo Rizado 1 Kg,CAT-2767,Medio repollo rizado
82.35294117647058,CF-857629,Protegeslip Normal Ausonia 40 Ud,CAT-3404,Protegeslip normal Cotton
