id_catalogo,id_ahorramas,score,motivo,nombre_ahorramas,nombre_catalogo,tipo,marca_catalogo,precio_ahorramas
CAT-1005,AH-98614,0,"productos completamente distintos, bebida Vitamin Well vs cerveza Voll-Damm",Cerveza doble malta Voll-Damm 50cl,vitamin well reload sabor lima limon botella 50 cl,marca_fabricante,Vitamin-Well,1.47
CAT-1003,AH-98611,0,categorías distintas: postre lácteo Yogolino vs cerveza Amstel,Cerveza con limón Amstel Radler pack 12 latas,postre lacteo fresa desde 8 meses nestle yogolino sin gluten pack de 8 unidades de 100 g,marca_fabricante,Yogolino,9.24
CAT-1007,AH-98581,0,categorías distintas: snack para perros vs cerveza sin alcohol,"Cerveza sin alcohol San Miguel 0,0% lata 33cl",snack para perros sabor bufalo purina adventuros sticks 120 g,marca_fabricante,Adventuros,0.74
CAT-1015,AH-98511,0,categorías distintas: crema de manos Neutrogena vs refresco naranja Fanta,Refresco naranja Fanta lata 33cl,crema de manos rapida absorcion neutrogena pack 2 unidades 75 ml,marca_fabricante,Neutrogena,0.75
CAT-1016,AH-98392,0,categorías completamente distintas: suplemento nutricional vs refresco de naranja,Refresco de naranja Trina lata 33cl,triptofano con magnesio  vitamina b6 ana maria lajusticia sin gluten y sin lactosa 60 ud,marca_fabricante,Ana-Maria-Lajusticia,0.5
CAT-2369,AH-98477,0,"marcas distintas (Martini vs Maestroni), vermouth rojo pero fabricante diferente",Vermouth rojo Maestroni 1l,Vermouth rojo Martini,marca_fabricante,,2.9
CAT-2003,AH-98304,2,Productos muy distintos: chocolate Milka con galleta vs galletas Mikado,Galleta de chocolate con leche Mikado Lu 75g,Chocolate con leche Milka galleta,marca_fabricante,,2.3
CAT-4568,AH-99508,2,mismo tipo pero diferente estado: crudo vs cocido. Son subtipos distintos del mismo producto base,Langostino cocido gordo,langostino gordo crudo 2030 ud 500 g,marca_fabricante,,10.99
CAT-6250,AH-98375,2,vino blanco DO Rueda pero marcas distintas: Viña Espólón vs Protos. Son bodegas diferentes,Vino blanco DO Rueda Protos verdejo,vina blanco verdejo espolon do rueda 75 cl,marca_fabricante,Vina-Espolon,7.99
CAT-4748,AH-98582,2,vino tinto DO La Mancha crianza pero marcas distintas: Viña Lobón vs El Vínculo. Bodegas diferentes,Vino tinto DO La Mancha El Vínculo crianza,vino tinto crianza vina lobon do la mancha 75 cl,marca_fabricante,Vina-Lobon,11.0
CAT-9778,AH-98632,2,"vinos diferentes - Viña Lobón vs Yugo, distinta bodega y marca",Vino tinto DO La Mancha Yugo tempranillo,vino tinto tempranillo vina lobon do mancha 75 cl,marca_fabricante,Vina-Lobon,4.25
CAT-6662,AH-98526,2,"vinos diferentes - Bardesano vs Berberana, distinta bodega y marca",Vino tinto crianza con D.O Rioja Berberana 75 cl,vino tinto crianza bardesano doca rioja 75 cl,marca_fabricante,Carrefour,4.99
CAT-9745,AH-98636,2,"vinos diferentes - Carrizal reserva vs Ederra crianza, distinta bodega",Vino tinto DO Rioja Ederra crianza,vino tinto reserva carrizal doca rioja 75 cl,marca_fabricante,Carrefour,7.95
CAT-7277,AH-98314,2,"Dots (bombón redondo) vs Donuts (forma diferente), productos distintos con palabra común",Donuts pack 4 bombón,pack dots bombon 4 ud,marca_fabricante,Carrefour,2.99
CAT-6410,AH-98379,2,Ambas cervezas rubias lager especial 33cl pero marcas completamente distintas (1870 vs Adlerbrau). Productos diferentes.,Cerveza rubia Adlerbrau Especial lata 33cl,cerveza la rubia 1870 lager especial lata 33 cl,marca_fabricante,1870,0.35
CAT-2557,AH-98540,2,"vinos tintos crianza diferentes, distintas bodegas (Abadía Mantrús vs Arzuaga)",Vino tinto DO Ribera del Duero Arzuaga crianza,Vino tinto crianza Abadía Mantrús DO Ribera del Duero,marca_fabricante,,23.99
CAT-4687,AH-99541,2,"pañales Dodot pero talla y cantidad diferentes (T3 7-11kg 56ud vs T2 58ud), productos distintos",Pañal Dodot Sensitive 58 unidades talla 2,panales dodot sensitive t3 7 11 kg 56 ud,marca_fabricante,Dodot-Sensitive-Extra,20.95
CAT-6769,AH-98365,2,cerveza sin alcohol tostada 33cl pero marcas completamente distintas (Saer Brau/Carrefour vs Amstel),"Cerveza sin alcohol Amstel Oro 0,0 Tostada lata 33cl",cerveza tostada saer brau 00 sin alcohol lata 33 cl,marca_fabricante,Carrefour,0.63
CAT-9233,AH-98639,2,"vino tinto crianza Rioja pero marcas diferentes (Carrefour vs Muga), productos distintos",Vino tinto DO Rioja Muga crianza,vino tinto crianza doca rioja 1875 cl,marca_fabricante,Carrefour,19.25
CAT-0544,AH-98629,2,vermouth blanco pero marcas distintas (Maronti vs Maestroni),Vermouth blanco Maestroni 1l,Vermouth blanco Maronti,marca_fabricante,,3.0
CAT-3003,AH-99111,2,"helado diferente: tarta nata-chocolate vs tarrina menta-chocolate, sabores distintos",Helado tarrina Alipende menta y chocolate 500ml,Tarta helada nata y chocolate,marca_blanca,,3.15
CAT-4684,AH-99450,4,"mismo producto pero talla diferente (T4 vs T1), marca coincide pero son tallas distintas",Pañal Dodot sensitive T1 58 unidades,panales dodot sensitive t4 10 15 kg 48 ud,marca_fabricante,Dodot-Sensitive-Extra,20.95
CAT-4686,AH-99438,4,Misma marca y tipo (pañales Dodot Sensitive) pero talla diferente (T5 vs T3) y cantidad distinta (44 vs 56 ud). Las tallas son subtipo diferente.,Pañal Dodot sensitive 56 unidades Talla 3,panales dodot sensitive t5 12 17 kg 44 ud,marca_fabricante,Dodot-Sensitive-Extra,20.95
CAT-2532,AH-98482,4,Mismo tipo de vino (tinto crianza DO Rioja) pero bodegas/productores diferentes (El Coto vs Luis Cañas). Son productos distintos.,Vino tinto DO Rioja Luis Cañas crianza,Vino tinto crianza El Coto DO Rioja,marca_fabricante,,12.35
CAT-7870,AH-98647,4,"mismo tipo de vino pero diferentes bodegas: Mayor de Castilla vs Castillo Monje, ambos DO Ribera del Duero roble",Vino tinto DO Ribera del Duero Castillo Monje Roble 75cl,vino tinto roble mayor de castilla do ribera del duero 75 cl,marca_fabricante,Mayor-De-Castilla,4.5
CAT-2074,AH-98223,4,"callos a la madrileña pero marca diferente (marca blanca vs Litoral), posible producto similar",Callos a la madrileña Litoral 370g,Callos a la madrileña,marca_blanca,,3.99
CAT-1782,AH-99526,4,horchata de chufa pero marca diferente (marca blanca vs Chufi),Horchata Chufi 1l,Horchata de chufa,marca_blanca,,1.69
CAT-3975,AH-99262,4,yogur griego ligero pero marca diferente (Margui vs no especificada en catálogo como marca blanca),Yogur griego ligero Margui 1 kg Natural,Yogur griego natural ligero 2% MG,marca_blanca,,2.3
CAT-4337,AH-98548,6,"Mismo tipo de vino (tinto roble ribera duero) pero marcas diferentes (Protos vs Pruno). En marca_fabricante, marca distinta baja el score",Vino tinto DO Ribera del Duero Pruno roble,vino tinto roble protos do ribera del duero 75 cl,marca_fabricante,Protos,12.99
CAT-9599,AH-99113,6,Mismo tipo de pizza Ristorante Dr Oetker prosciutto pero distinto atributo: una es normal (350g) y otra sin gluten (345g),Pizza sin gluten Ristorante Dr Oetker 345g prosciuto,pizza prosciutto funghi ristorante dr oetker 350 g,marca_fabricante,Ristorante,4.65
