id_producto	supermercado	precio	actualizado
BE-CE-003	Mercadona	9.24	2026-02-15
BE-RE-003	Mercadona	11.16	2026-02-15
BE-VI-008	Mercadona	7.25	2026-02-15
BE-ZU-002	Mercadona	1.9	2026-02-15
CA-CA-004	Mercadona	4.5	2026-02-15
CA-CA-011	Mercadona	1.9	2026-02-15
CA-CE-006	Mercadona	3.27	2026-02-15
CA-CH-011	Mercadona	2.45	2026-02-15
CP-DE-003	Mercadona	2.95	2026-02-15
DE-CA-006	Mercadona	3.55	2026-02-15
DS-AC-003	Mercadona	4.95	2026-02-15
DS-AZ-001	Mercadona	1	2026-02-15
DS-SC-015	Mercadona	1.15	2026-02-15
BE-CE-003	Lidl	7.39	2026-02-15
BE-RE-003	Lidl	3.25	2026-02-15
BE-VI-008	Lidl	2.15	2026-02-15
BE-ZU-002	Lidl	2	2026-02-15
CA-CA-004	Lidl	4.25	2026-02-15
CA-CA-011	Lidl	2.2	2026-02-15
CA-CE-006	Lidl	3.15	2026-02-15
CA-CH-011	Lidl	2.3	2026-02-15
CP-DE-003	Lidl	2.99	2026-02-15
DE-CA-006	Lidl	3.55	2026-02-15
DS-AC-003	Lidl	6.15	2026-02-15
DS-AZ-001	Lidl	0.9	2026-02-15
DS-SC-015	Lidl	1.8	2026-02-15
BE-CE-003	Carrefour	9.24	2026-02-15
BE-RE-003	Carrefour	11.3	2026-02-15
BE-VI-008	Carrefour	11.55	2026-02-15
BE-ZU-002	Carrefour	2.19	2026-02-15
CA-CA-004	Carrefour	4.29	2026-02-15
CA-CA-011	Carrefour	2.49	2026-02-15
CA-CE-006	Carrefour	3.52	2026-02-15
CA-CH-011	Carrefour	6.29	2026-02-15
CP-DE-003	Carrefour	3.69	2026-02-15
DE-CA-006	Carrefour	4.95	2026-02-15
DS-AC-003	Carrefour	4.94	2026-02-15
DS-AZ-001	Carrefour	0.99	2026-02-15
DS-SC-015	Carrefour	3.69	2026-02-15
