id_ahorramas,nombre_ahorramas,id_catalogo,nombre_catalogo,score,alt1_id,alt1_nombre,alt1_score,alt2_id,alt2_nombre,alt2_score,categoria_ah
AM-83450,"Alimento completo para perros con vacuno Meque 1,2kg",CAT-5977,Pienso Para Perro Adulto Bon Menu 4 Kg,63.29113924050633,CAT-7153,Complemento Alimenticio Para El Transito Intestinal Roha Max 130 G,62.264150943396224,CAT-6554,complemento alimenticio desde 12 meses sabor vainilla pediasure 850gr,61.111111111111114,
AM-51296,Snack perro Purina sticks 120g,CAT-6038,snack stick de pato 8 unidades 50 g,72.72727272727273,CAT-6217,Snack Para Perro Purina Friskies B Steaks 150 G,69.6969696969697,CAT-6096,Snack Para Perro Purina Friskies Picnic Variety 15 Sticks 126 G,63.29113924050633,
AM-36638,"Pienso gato Ultima esterilizado bolas pelo 1,5kg",CAT-5953,Pienso Esterilizado Bolas De Pelo De Pavo Para Gato Ultima 15 Kg,84.0,CAT-6086,Pienso Esterilizado Bolas Pelo De Trucha Para Gatos Ultima 15 Kg,84.0,CAT-6441,Pienso Esterilizado Bolas De Pelo De Pavo Para Gato Adulto Ultima 75 Kg,78.50467289719626,
AM-49888,Comida húmeda gato Meque tarrina rico en salmón 100g,CAT-6061,Comida Humeda Mousse De Salmon Para Gato Poesie Vitakraft 85 G,75.0,CAT-6090,Comida Humeda De Salmon Para Gatos Simpl 400 G,71.26436781609196,CAT-5942,comida humeda de salmon para gato adulto vitalive 100 g,68.75,
AM-60859,Snack palitos para perro Meque pollo 200g,CAT-5970,snack huesos de pollo para perro 6 unidades 80 g,82.35294117647058,CAT-6457,snack de pollo para perro 80 g,78.68852459016394,CAT-6428,Snacks De Pollo Para Perro Querico 5 Unidades,68.57142857142857,
AM-60977,"Pienso gato esterilizado Ultima pollo 1,5kg",CAT-5946,Pienso Esterilizado De Pollo Para Gato Adulto Ultima 15 Kg,83.14606741573034,CAT-6120,Pienso Esterilizado De Pollo Para Gato Adulto Ultima Cat 25 Kg,79.56989247311827,CAT-6182,Pienso Esterilizado De Pollo Para Gato Senior Ultima Cat 25 Kg,79.56989247311827,
AM-51475,Comida húmeda perro Meque rico en pollo con cordero 300g,CAT-6002,Comida Humeda De Cordero Y Pollo Para Perro Pedigree 300 G,75.72815533980582,CAT-6132,comida humeda con pollo para perro junior companino 400 g,68.62745098039215,CAT-5975,Comida Humeda De Pollo Para Perros Simpl 1200 G,68.13186813186813,
AM-63507,"Comida húmeda para gato adulto Gourmet Gold Foundant con Salmón, Pollo y Buey 12 latas",CAT-5983,Comida Humeda De Pollobuey Atun Y Salmon Para Gato Adulto Purina Gourmet Gold Fondant 12X85 G,84.02366863905326,CAT-5935,Comida Humeda De Atun Para Gato Adulto Purina Gourmet Gold Fondant 85 G,79.72972972972973,CAT-6088,Comida Humeda De Buey Pollo Atun Y Salmon Para Gato Adulto Purina Gourmet Gold Tartelette 24X85 G,78.61271676300578,
AM-84662,"Alimento completo para gatos con salmón, trucha y verduras Meque 400g",CAT-6234,Comida Humeda De Salmon Y Trucha Para Gato Adulto Ultima 4X85 Gr,66.66666666666667,CAT-6023,pienso de salmon y verduras para gatos adultos vitalive companino 2 kg,62.01550387596899,CAT-6039,pienso de salmon y verduras para gatos adultos vitalive companino 4 kg,62.01550387596899,
AM-51584,LOTE 1kg de pechugas + 1kg de traseros de pollo,CAT-1604,traseros de pollo el mercado 12 kg aprox,68.49315068493152,CAT-1229,pechuga de pollo al horno en tiras sin gluten 140 g,66.66666666666667,CAT-4654,delicias de pechuga de pollo extra 500 g,65.75342465753424,frescos
