score,id_catalogo,nombre_catalogo,id_carrefour,nombre_carrefour,marca_carrefour
0.899,CAT-0868,Cereales copos de maíz Corn Flakes 0% azúcares añadidos,CF-114094,Cereales De Maiz Sin Azucar Anadido Corn Flakes Carrefour 500 G,Carrefour
0.899,CAT-0950,Recambio ambientador automático Delice,CF-655028,Ambientador Automatico Ropa Limpia Recambio Essential Carrefour 1 Ud,Carrefour-Essential
0.899,CAT-2213,Leche de continuación en polvo 2 Nidina Nestlé,CF-346708,Leche Infantil De Continuacion Desde 6 Meses En Polvo Nestle Nidina 2 Pack De 2 Unidades De 600 G,Nestle
0.899,CAT-3270,Protegeslip Cotton flexiform Carefree regular + tanga,CF-691108,Protegeslip Cotton Flexiform Sin Fragancia Carefree 56 Ud,Carefree
0.899,CAT-3469,Recambio ambientador automático Flower,CF-655033,Ambientador Automatico Manzana Canela Recambio Essential Carrefour 1 Ud,Carrefour-Essential
0.898,CAT-2082,Mix mini barritas de chocolate,CF-882595,Mini Barrita De Chocolate Con Corazon De Leche Carrefour Classic 200 G,Carrefour
0.897,CAT-0089,Champú Anticaída Fortificante,CF-044060,Champu Anticaspa Eucerin 250 Ml,Eucerin
0.897,CAT-0101,Preparado para ahumar,CF-189112,Preparado De Marisco Para Paella Congelado Carrefour 400 G,Carrefour
0.897,CAT-0564,Pimientos del piquillo enteros extra,CF-795124,Pimiento Del Piquillo Entero Asados Con Ajo Classic Carrefour 225 G,Carrefour
0.897,CAT-0317,Aceitunas verdes rellenas de pimiento asado,CF-441985,Aceitunas Verdes Rellenas De Anchoa Carrefour 150 G,Carrefour
0.897,CAT-0394,Mortadela italiana finas lonchas,CF-242921,Mortadela Estilo Italiana En Lonchas Carrefour El Mercado Sin Gluten Y Sin Lactosa 150 G,Carrefour
0.897,CAT-0854,Crema de queso viejo tostado mezcla,CF-597883,Queso De Mezcla Viejo Tostado En Cuna Cortada Carrefour Classic 250 G,Carrefour
0.897,CAT-0971,Refresco lima limón zero azúcar fresh gas,CF-034630,Refresco Sabor Lima  Limon Zero Carrefour Classic Lata 33 Cl,Carrefour
0.897,CAT-1239,Crema de manos nutritiva Karité,CF-905714,Crema De Manos Y Unas Neutrogena 75 Ml,Neutrogena
0.897,CAT-1404,Gel de higiene íntima hidratante,CF-752678,Crema Hidratante Nivea 400 Ml,Nivea
0.897,CAT-1537,Empanadilla de atún 16%,CF-189771,Empanadilla Argentina 125 G,Marca-Nacional-Sin-Marca
0.897,CAT-2755,Dentífrico infantil +6 años sabor gominola,CF-010153,Dentifrico Gingi Kin B5 Pack De 2 Unidades De 125 Ml,Kin
0.897,CAT-2760,Compresa con alas super Evax cotton like fresh,CF-056616,Compresas Super Con Alas Cottonlike Evax 24 Ud,Evax-Cottonlike
