id_catalogo;nombre_generico;id_dia_propuesto;nombre_dia_propuesto;score;aceptar_si_no
CAT-0577;Golosinas Mega Dedo;DI-2554;Golosinas mega torcidas sabor cereza Haribo bolsa 200 g;85;SI
CAT-0348;Gel corporal infantil;DI-0640;Gel crema depilatorio corporal piel sensible Veet tubo 200 ml;73;NO
CAT-3210;Golosinas tubos sabor fresa y nata;DI-3999;Golosinas mini aros de fresa y nata Trolli bolsa 100 g;79;SI
CAT-0272;Caramelos sabor lima 0% azúcares;DI-2495;Pepsi zero azúcar sabor lima 330 ml;75;NO
CAT-0273;Caramelos sabor eucalipto y mentol 0% azúcares;DI-0461;Caramelos sabor eucalipto Halls bolsa 2 x 32 g;78;SI
CAT-2701;Chicles eucalipto gragea;DI-4570;Chicles sabor eucalipto sin azúcar Orbit bolsa 5 unidades;83;SI
CAT-2740;Chicles Melones ácidos sabor melón, fresa, melocotón y frambuesa;DI-0486;Gatorade sabor frambuesa 500 ml;77;NO
CAT-3221;Chicles hierbabuena gragea;DI-0110;Chicles sabor hierbabuena 60 minutos sin azúcar Trident caja 22 g;84;SI
CAT-3222;Chicles fresa gragea;DI-1717;Chicles sabor fresa Bubbaloo bolsa 38 g;79;SI
CAT-2183;Detergente ropa de Color líquido;DI-2198;Detergente máquina líquido marsella Super Paco de Dia garrafa 46 lavados;79;SI
CAT-4033;Cerveza especial sin gluten Falke;DI-1022;Cerveza sin gluten Ambar 33 cl;86;SI
CAT-3228;Caramelos nata 0% azúcares;DI-4231;Caramelos de nata Werther's bolsa 135 g;72;SI
CAT-3229;Caramelos blandos Fruits;DI-3313;Caramelos masticables sabor fruta ácida fruits Skittles bolsa 152 g;80;SI
CAT-4386;Col lombarda;DI-4362;Lombarda 2.5 Kg aprox.;80;SI
CAT-4420;Seta laminada;DI-0340;Tarta laminada nata y chocolate Dia Temptation 525 g;76;NO
CAT-4528;Vino tinto tempranillo Hacienda Zargón;DI-4539;Vino tinto joven tempranillo Altos de Tamarón 75 cl;75;SI
CAT-4543;Sepia troceada Faraónica;DI-2796;Sepia faraónica Dia Mari Marinera 400 g;77;SI
CAT-4553;Vino tinto roble Fariña DO Dama de Toro;DI-2788;Vino tinto Carta de p 75 cl;76;SI
CAT-4555;Vino tinto Fariña DO Gran Dama de Toro;DI-2788;Vino tinto Carta de p 75 cl;76;SI
CAT-4598;Tortillitas de camarones ultracongeladas;DI-2723;Tortillitas de camarón Terranova 400 g;75;SI
CAT-4627;Vino blanco airén verdejo Elegido;DI-4281;Vino blanco verdejo Blume 75 cl;86;SI
CAT-4633;Vino blanco albariño Ponte Tamuxe DO Rías Baixas;DI-2079;Vino blanco albariño D.O. Rías Baixas Mourama 75 cl;84;SI
CAT-4636;Vino blanco Treixadura Da Feira DO Ribeiro;DI-2081;Vino blanco D.O. Ribeiro Mourama 75 cl;75;SI
CAT-4637;Vino blanco crianza Capricho de Uva DO Rioja;DI-2281;Vino blanco Habla de ti 75 cl;76;SI
CAT-4654;Pavías de bacalao salado;DI-1881;Bacalao desmigado salado MSC Selección de Dia bandeja 250 g;83;SI
