id;nombre;categoria;subcategoria
GEN-0001;Patata;Frutas y Verduras;Verduras
GEN-0002;Patatas;Frutas y Verduras;Verduras
GEN-0003;Patatas rojas;Frutas y Verduras;Verduras
GEN-0004;Patatas guarnición;Frutas y Verduras;Verduras
GEN-0005;Batata;Frutas y Verduras;Verduras
GEN-0006;Patatas especial para freir;Frutas y Verduras;Verduras
GEN-0007;Yuca;Frutas y Verduras;Verduras
GEN-0008;Cebollas tiernas;Frutas y Verduras;Verduras
GEN-0009;Cebollas;Frutas y Verduras;Verduras
GEN-0010;Ajos morados;Frutas y Verduras;Verduras
GEN-0011;Cebollas dulces;Frutas y Verduras;Verduras
GEN-0012;Cebollas rojas;Frutas y Verduras;Verduras
GEN-0013;Ajo negro dientes pelados;Frutas y Verduras;Verduras
GEN-0014;Picada de ajo y perejil;Frutas y Verduras;Verduras
GEN-0015;Tomate ensalada;Frutas y Verduras;Verduras
GEN-0016;Tomate canario;Frutas y Verduras;Verduras
GEN-0017;Tomate pera;Frutas y Verduras;Verduras
GEN-0018;Tomates pera;Frutas y Verduras;Verduras
GEN-0019;Tomates cherry pera kumato;Frutas y Verduras;Verduras
GEN-0020;Tomates cherry;Frutas y Verduras;Verduras
GEN-0021;Tomates cherry en rama Dulcita;Frutas y Verduras;Verduras
GEN-0022;Tomates negros;Frutas y Verduras;Verduras
GEN-0023;Tomates;Frutas y Verduras;Verduras
GEN-0024;Tomate negro;Frutas y Verduras;Verduras
GEN-0025;Tomate rallado;Frutas y Verduras;Verduras
GEN-0026;Rama de Tomates;Frutas y Verduras;Verduras
GEN-0027;Tomate rosa;Frutas y Verduras;Verduras
GEN-0028;Tomates Anhel;Frutas y Verduras;Verduras
GEN-0029;Plátano de Canarias IGP;Frutas y Verduras;Fruta
GEN-0030;Banana;Frutas y Verduras;Fruta
GEN-0031;Plátano macho;Frutas y Verduras;Fruta
GEN-0032;Uva blanca sin semillas;Frutas y Verduras;Fruta
GEN-0033;Uva roja sin semillas;Frutas y Verduras;Fruta
GEN-0034;Zanahorias;Frutas y Verduras;Verduras
GEN-0035;Pepino;Frutas y Verduras;Verduras
GEN-0036;Pepino holandés;Frutas y Verduras;Verduras
GEN-0037;Palitos de zanahoria;Frutas y Verduras;Verduras
GEN-0038;Zanahoria rallada lavada;Frutas y Verduras;Verduras
GEN-0039;Manzana Golden;Frutas y Verduras;Fruta
GEN-0040;Manzanas Golden;Frutas y Verduras;Fruta
GEN-0041;Pera Conferencia;Frutas y Verduras;Fruta
GEN-0042;Peras Conferencia;Frutas y Verduras;Fruta
GEN-0043;Manzana roja dulce;Frutas y Verduras;Fruta
GEN-0044;Manzanas rojas dulces;Frutas y Verduras;Fruta
GEN-0045;Manzana Granny Smith;Frutas y Verduras;Fruta
GEN-0046;Manzana Reineta;Frutas y Verduras;Fruta
GEN-0047;Manzana roja acidulce;Frutas y Verduras;Fruta
GEN-0048;Manzanas rojas acidulces;Frutas y Verduras;Fruta
GEN-0049;Medio melón piel de sapo;Frutas y Verduras;Fruta
GEN-0050;Melón piel de sapo;Frutas y Verduras;Fruta
GEN-0051;Pimiento rojo;Frutas y Verduras;Verduras
GEN-0052;Calabacín verde;Frutas y Verduras;Verduras
GEN-0053;Pimiento verde freír;Frutas y Verduras;Verduras
GEN-0054;Calabacín blanco;Frutas y Verduras;Verduras
GEN-0055;Pimiento verde;Frutas y Verduras;Verduras
GEN-0056;Pimientos tricolor;Frutas y Verduras;Verduras
GEN-0057;Pimientos semipicantes;Frutas y Verduras;Verduras
GEN-0058;Limones;Frutas y Verduras;Fruta
GEN-0059;Limón;Frutas y Verduras;Fruta
