id_producto;nombre;categoria;subcategoria
ME-0001;Patata;Frutas y Verduras;Verduras
ME-0002;Patatas;Frutas y Verduras;Verduras
ME-0003;Patatas rojas;Frutas y Verduras;Verduras
ME-0004;Patatas guarnición;Frutas y Verduras;Verduras
ME-0005;Batata;Frutas y Verduras;Verduras
ME-0006;Patatas especial para freir;Frutas y Verduras;Verduras
ME-0007;Yuca;Frutas y Verduras;Verduras
ME-0008;Cebollas tiernas;Frutas y Verduras;Verduras
ME-0009;Cebollas;Frutas y Verduras;Verduras
ME-0010;Ajos morados;Frutas y Verduras;Verduras
ME-0011;Cebollas dulces;Frutas y Verduras;Verduras
ME-0012;Cebollas rojas;Frutas y Verduras;Verduras
ME-0013;Ajo negro dientes pelados;Frutas y Verduras;Verduras
ME-0014;Picada de ajo y perejil;Frutas y Verduras;Verduras
ME-0015;Tomate ensalada;Frutas y Verduras;Verduras
ME-0016;Tomate canario;Frutas y Verduras;Verduras
ME-0017;Tomate pera;Frutas y Verduras;Verduras
ME-0018;Tomates pera;Frutas y Verduras;Verduras
ME-0019;Tomates cherry pera kumato;Frutas y Verduras;Verduras
ME-0020;Tomates cherry;Frutas y Verduras;Verduras
ME-0021;Tomates cherry en rama Dulcita;Frutas y Verduras;Verduras
ME-0022;Tomates negros;Frutas y Verduras;Verduras
ME-0023;Tomates;Frutas y Verduras;Verduras
ME-0024;Tomate negro;Frutas y Verduras;Verduras
ME-0025;Tomate rallado;Frutas y Verduras;Verduras
ME-0026;Rama de Tomates;Frutas y Verduras;Verduras
ME-0027;Tomate rosa;Frutas y Verduras;Verduras
ME-0028;Tomates Anhel;Frutas y Verduras;Verduras
ME-0029;Plátano de Canarias IGP;Frutas y Verduras;Fruta
ME-0030;Banana;Frutas y Verduras;Fruta
ME-0031;Plátano macho;Frutas y Verduras;Fruta
ME-0032;Uva blanca sin semillas;Frutas y Verduras;Fruta
ME-0033;Uva roja sin semillas;Frutas y Verduras;Fruta
ME-0034;Zanahorias;Frutas y Verduras;Verduras
ME-0035;Pepino;Frutas y Verduras;Verduras
ME-0036;Pepino holandés;Frutas y Verduras;Verduras
ME-0037;Palitos de zanahoria;Frutas y Verduras;Verduras
ME-0038;Zanahoria rallada lavada;Frutas y Verduras;Verduras
ME-0039;Manzana Golden;Frutas y Verduras;Fruta
ME-0040;Manzanas Golden;Frutas y Verduras;Fruta
ME-0041;Pera Conferencia;Frutas y Verduras;Fruta
ME-0042;Peras Conferencia;Frutas y Verduras;Fruta
ME-0043;Manzana roja dulce;Frutas y Verduras;Fruta
ME-0044;Manzanas rojas dulces;Frutas y Verduras;Fruta
ME-0045;Manzana Granny Smith;Frutas y Verduras;Fruta
ME-0046;Manzana Reineta;Frutas y Verduras;Fruta
ME-0047;Manzana roja acidulce;Frutas y Verduras;Fruta
ME-0048;Manzanas rojas acidulces;Frutas y Verduras;Fruta
ME-0049;Medio melón piel de sapo;Frutas y Verduras;Fruta
ME-0050;Melón piel de sapo;Frutas y Verduras;Fruta
ME-0051;Pimiento rojo;Frutas y Verduras;Verduras
ME-0052;Calabacín verde;Frutas y Verduras;Verduras
ME-0053;Pimiento verde freír;Frutas y Verduras;Verduras
ME-0054;Calabacín blanco;Frutas y Verduras;Verduras
ME-0055;Pimiento verde;Frutas y Verduras;Verduras
ME-0056;Pimientos tricolor;Frutas y Verduras;Verduras
ME-0057;Pimientos semipicantes;Frutas y Verduras;Verduras
ME-0058;Limones;Frutas y Verduras;Fruta
ME-0059;Limón;Frutas y Verduras;Fruta
ME-0060;Mandarina;Frutas y Verduras;Fruta
ME-0061;Naranja de mesa;Frutas y Verduras;Fruta
ME-0062;Naranjas;Frutas y Verduras;Fruta
ME-0063;Pomelo;Frutas y Verduras;Fruta
ME-0064;Lima;Frutas y Verduras;Fruta
ME-0065;Coliflor;Frutas y Verduras;Verduras
ME-0066;Repollo liso;Frutas y Verduras;Verduras
ME-0067;Repollo liso partido;Frutas y Verduras;Verduras
ME-0068;Repollo rizado;Frutas y Verduras;Verduras
ME-0069;Medio repollo rizado;Frutas y Verduras;Verduras
ME-0070;Coles de bruselas;Frutas y Verduras;Verduras
ME-0071;Col lombarda;Frutas y Verduras;Verduras
ME-0072;Media col lombarda;Frutas y Verduras;Verduras
ME-0073;Lechuga Iceberg;Frutas y Verduras;Verduras
ME-0074;Ensalada mezcla 4 estaciones lavada;Frutas y Verduras;Verduras
ME-0075;Lechugas corazón romana;Frutas y Verduras;Verduras
ME-0076;Ensalada mezcla brotes tiernos lavada;Frutas y Verduras;Verduras
ME-0077;Canónigos lavados;Frutas y Verduras;Verduras
ME-0078;Lechuga iceberg cortada y lavada;Frutas y Verduras;Verduras
ME-0079;Ensalada mezcla gourmet lavada;Frutas y Verduras;Verduras
ME-0080;Cogollos de lechuga;Frutas y Verduras;Verduras
