id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-4080;Biberón 150 ml tetina silicona flujo lento Deliplus +0 meses;330;Bazar y Varios;Otros bazar;BEBES;OTROS
ME-4081;Biberón 360 ml tetina silicona tres posiciones Deliplus +1 mes;380;Bazar y Varios;Otros bazar;BEBES;OTROS
ME-4029;Cambiador multiusos desechable Deliplus;415;Bazar y Varios;Otros bazar;BEBES;OTROS
ME-4083;Limpiador bebé para biberones y tetinas Deliplus;290;Bebidas;Licores y destilados;Bebes;Toallitas y algodón
ME-3785;Bebida isotónica Iso On blue Hacendado;155;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-3775;Bebida isotónica sabor cítrico Iso drink;100;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-3787;Bebida isotónica sabor cítrico Iso drink zero;100;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-1228;Bebida Kéfir de coco Hacendado;110;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-1229;Bebida Kéfir natural Hacendado 0% MG;90;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-0428;Bebida multivitaminas Hacendado sin azúcares añadidos;100;Bazar y Varios;Otros bazar;BEBIDA;OTROS
ME-0423;Bebida tropical Hacendado sin azúcares añadidos;100;Bazar y Varios;Otros bazar;BEBIDA;ZUMOS
ME-0583;Brandy de Jerez solera reserva Convidado de Baco;600;Bazar y Varios;Otros bazar;BEBIDAS;LICORES Y DESTILADOS
ME-3723;Bitter Kas sin alcohol;784;Bazar y Varios;Otros bazar;BEBIDAS;REFRESCOS
ME-0198;Buey de mar cocido Hacendado;990;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0801;Burger americana gruesas;320;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0802;Burger Crunchy Chicken;200;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0804;Burger de vaca madurada;290;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0793;Burger de vacuno;620;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0796;Burger de vacuno gruesas;510;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-1907;Burgers vegetales Hacendado con calabaza;200;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-1748;Cabecero de lomo Hacendado lonchas;270;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-1755;Caña de lomo cebo ibérico La Hacienda del ibérico;7600;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-1825;Canelones de carne y boletus Hacendado;370;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CARNE PREPARADA
ME-0613;Butifarra fresca;362;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;CHARCUTERÍA
ME-2780;Bloc foie gras de pato Hacendado;525;Bazar y Varios;Otros bazar;CARNICERÍA Y CHARCUTERIA;OTROS
ME-3431;Helado chocolate y cookies Hacendado;315;Desayuno y Snack;Té e infusiones;CONGELADOS;HELADOS
