supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
DIA,Leche semidesnatada Dia Láctea pack 6 x 1 L,5.28,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.88,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/504P6,https://www.dia.es/product_images/504P6/504P6_ISO_0_ES.jpg,504P6
DIA,Leche entera Dia Láctea pack 6 x 1 L,5.82,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.97,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/608P6,https://www.dia.es/product_images/608P6/608P6_ISO_0_ES.jpg,608P6
DIA,Leche semidesnatada sin lactosa Dia Láctea pack 6 x 1 L,5.76,Dia Láctea,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,0.96,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/130063P6,https://www.dia.es/product_images/130063P6/130063P6_ISO_0_ES.jpg,130063P6
DIA,Leche desnatada Dia Láctea pack 6 x 1 L,5.04,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.84,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/607P6,https://www.dia.es/product_images/607P6/607P6_ISO_0_ES.jpg,607P6
DIA,Leche semidesnatada Dia Láctea 1 L,0.88,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.88,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/504,https://www.dia.es/product_images/504/504_ISO_0_ES.jpg,504
DIA,Leche entera Dia Láctea 1 L,0.97,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.97,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/608,https://www.dia.es/product_images/608/608_ISO_0_ES.jpg,608
DIA,Leche desnatada sin lactosa Dia Láctea pack 6 x 1 L,5.58,Dia Láctea,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,0.93,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/185450P6,https://www.dia.es/product_images/185450P6/185450P6_ISO_0_ES.jpg,185450P6
DIA,Leche semidesnatada Central Lechera Asturiana pack 6 x 1 L,7.02,Central Lechera Asturiana,"Huevos, leche y mantequilla",Leche,1.17,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/17548P6,https://www.dia.es/product_images/17548P6/17548P6_ISO_0_ES.jpg,17548P6
DIA,Leche semidesnatada sin lactosa Dia Láctea 1 L,0.96,Dia Láctea,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,0.96,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/130063,https://www.dia.es/product_images/130063/130063_ISO_0_ES.jpg,130063
DIA,Leche entera Dia Láctea 3 x 200 ml,0.86,Dia Láctea,"Huevos, leche y mantequilla",Leche,1.43,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/303496,https://www.dia.es/product_images/303496/303496_ISO_0_ES.jpg,303496
DIA,Leche entera Central Lechera Asturiana pack 6 x 1 L,7.74,Central Lechera Asturiana,"Huevos, leche y mantequilla",Leche,1.29,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/16065P6,https://www.dia.es/product_images/16065P6/16065P6_ISO_0_ES.jpg,16065P6
DIA,Leche entera sin lactosa Dia Láctea pack 6 x 1 L,6.24,Dia Láctea,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,1.04,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/225278P6,https://www.dia.es/product_images/225278P6/225278P6_ISO_0_ES.jpg,225278P6
DIA,Leche desnatada Dia Láctea 1 L,0.84,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.84,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/607,https://www.dia.es/product_images/607/607_ISO_0_ES.jpg,607
DIA,Leche desnatada sin lactosa Dia Láctea 1 L,0.93,Dia Láctea,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,0.93,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/185450,https://www.dia.es/product_images/185450/185450_ISO_0_ES.jpg,185450
DIA,Leche semidesnatada Dia Láctea botella 1.5 L,1.42,Dia Láctea,"Huevos, leche y mantequilla",Leche,0.95,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/304739,https://www.dia.es/product_images/304739/304739_ISO_0_ES.jpg,304739
DIA,Leche fresca entera Dia Láctea botella 1 L,1.15,Dia Láctea,"Huevos, leche y mantequilla",Leche,1.15,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/271329,https://www.dia.es/product_images/271329/271329_ISO_0_ES.jpg,271329
DIA,Bebida de avena Dia Vegedia 1 L,0.95,Dia Vegedia,"Huevos, leche y mantequilla",Bebidas vegetales,0.95,https://www.dia.es/huevos-leche-y-mantequilla/bebidas-vegetales/p/267682,https://www.dia.es/product_images/267682/267682_ISO_0_ES.jpg,267682
DIA,Leche desnatada Central Lechera Asturiana pack 6 x 1 L,6.78,Central Lechera Asturiana,"Huevos, leche y mantequilla",Leche,1.13,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/16066P6,https://www.dia.es/product_images/16066P6/16066P6_ISO_0_ES.jpg,16066P6
DIA,Leche semidesnatada Central Lechera Asturiana pack 6 x 2.2 L,14.7,Central Lechera Asturiana,"Huevos, leche y mantequilla",Leche,1.11,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/173903P6,https://www.dia.es/product_images/173903P6/173903P6_ISO_0_ES.jpg,173903P6
DIA,Leche semidesnatada sin lactosa Central Lechera Asturiana pack 6 x 1 L,7.5,Central Lechera Asturiana,"Huevos, leche y mantequilla",Leche sin lactosa y enriquecidas,1.25,https://www.dia.es/huevos-leche-y-mantequilla/leche-sin-lactosa-y-enriquecidas/p/148777P6,https://www.dia.es/product_images/148777P6/148777P6_ISO_0_ES.jpg,148777P6
