id,nombre_comercial,marca
34772,Pan de leche La bella easo bolsa 350 g,La bella easo
55446,Magnum almendrado 4 x 75 g,Magnum
5167,Pepsi zero azúcar 1.75 L,Pepsi
75926,Calabaza 1.6 Kg aprox.,DIA
17653,Ajos malla 250 g,DIA
155416,Leche crecimiento con galleta maría +3 años Nestlé 1 L,Nestlé
243252,Hielo picado 2 Kg,DIA
19479,Helado bombón chocolate con leche Dia Temptation 4 x 84 g,Dia Temptation
273476,Agua con gas Font Vella 500 ml,Font Vella
660,Coca-Cola 330 ml,Coca-Cola
659,Coca-Cola 2 L,Coca-Cola
299859,Horchata premium Dia 1 L,Dia
272092,Horchata premium Or Xata 1 L,Or xata
10065,Refresco de cola Dia Hola Cola 2 L,Dia Hola Cola
7492,Coca-Cola 1.25 L,Coca-Cola
307729,Bifrutas dark Pascual 330 ml,Pascual
7659P6,Pepsi pack 6 x 1.75 L,Pepsi
7658P24,Pepsi pack 24 x 330 ml,Pepsi
262825,Bífidus con manzana asada Dia pack 4 x 125 g,Dia
237458,Kiwi amarillo Zespri bandeja 500 g,Zespri
97,Manzana Golden granel 500 g aprox.,DIA
16065P6,Leche entera Central Lechera Asturiana pack 6 x 1 L,Central Lechera Asturiana
267682,Bebida de avena Dia Vegedia 1 L,Dia Vegedia
148777P6,Leche semidesnatada sin lactosa Central Lechera Asturiana pack 6 x 1 L,Central Lechera Asturiana
74720P6,Leche entera Central Lechera Asturiana pack 6 x 1.5 L,Central Lechera Asturiana
85630,Arroz con leche Dia Caprichoso pack 4 x 125 g,Dia Caprichoso
272355,Pepino granel 1 Kg aprox.,DIA
184889,Leche entera Central Lechera Asturiana botella 2.2 L,Central Lechera Asturiana
184889P6,Leche entera Central Lechera Asturiana pack 6 x 2.2 L,Central Lechera Asturiana
307402,Leche semidesnatada sin lactosa Central Lechera Asturiana 3 x 200 ml,Central Lechera Asturiana
169355,Leche desnatada sin lactosa Central Lechera Asturiana 1 L,Central Lechera Asturiana
