id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
76080,Whisky 8 años Dyc 70 cl,557,Whisky DYC,74.1
38301,Agua mineral Aquarel 1.5 L,3133,Agua mineral grande Aguadoy,72.0
11416,Judía verde 500 g,132,Judía verde plana,78.6
296355,Patatas para cocer 2 Kg,155,Patatas para microondas,73.2
74,Pimiento rojo unidad 320 g aprox.,51,Pimiento rojo,78.8
10065,Refresco de cola Dia Hola Cola 2 L,3151,Refresco Coca-Cola light,70.4
82492,Coca-Cola zero azúcar 2 x 2 L,3150,Refresco Coca-Cola Zero azúcar,79.2
17548P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 1 L,1775,Leche semidesnatada Asturiana,74.4
16066P6,Leche desnatada Central Lechera Asturiana pack 6 x 1 L,1790,Leche desnatada Asturiana,71.4
173903P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 2.2 L,1775,Leche semidesnatada Asturiana,76.3
304738,Leche entera Dia Láctea botella 1.5 L,1795,Leche entera Hacendado,77.4
74720P6,Leche entera Central Lechera Asturiana pack 6 x 1.5 L,1796,Leche entera Asturiana,71.0
308772,Leche desnatada sin lactosa alta en proteínas Dia Láctea 1 L,1787,Leche desnatada sin lactosa Hacendado,75.0
184889P6,Leche entera Central Lechera Asturiana pack 6 x 2.2 L,1796,Leche entera Asturiana,71.0
5716P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 1.5 L,1775,Leche semidesnatada Asturiana,76.3
5716,Leche semidesnatada Central Lechera Asturiana botella 1.5 L,1775,Leche semidesnatada Asturiana,71.6
73676,Leche entera Pascual 1 L,1795,Leche entera Hacendado,75.0
73678,Leche desnatada Pascual 1 L,1786,Leche desnatada Hacendado,78.9
173903,Leche semidesnatada Central Lechera Asturiana botella 2.2 L,1775,Leche semidesnatada Asturiana,71.6
19814,Leche entera Lauki 1 L,1795,Leche entera Hacendado,80.0
308119,Leche entera Celta 1 L,1795,Leche entera Hacendado,80.0
74722P6,Leche desnatada Central Lechera Asturiana pack 6 x 1.5 L,1790,Leche desnatada Asturiana,73.5
73678P6,Leche desnatada Pascual pack 6 x 1 L,1786,Leche desnatada Hacendado,71.4
73677P6,Leche semidesnatada Pascual pack 6 x 1 L,1772,Leche semidesnatada Hacendado,76.0
34578P6,Leche semidesnatada Lauki pack 6 x 1 L,1774,Leche semidesnatada calcio Hacendado,80.0
308120P6,Leche semidesnatada Celta pack 6 x 1 L,1773,Leche semidesnatada sin lactosa Hacendado,80.0
308119P6,Leche entera Celta pack 6 x 1 L,1795,Leche entera Hacendado,70.6
19814P6,Leche entera Lauki pack 6 x 1 L,1795,Leche entera Hacendado,70.6
1917P6,Leche desnatada Lauki pack 6 x 1 L,1786,Leche desnatada Hacendado,75.0
148777,Leche semidesnatada sin lactosa Central Lechera Asturiana 1 L,1773,Leche semidesnatada sin lactosa Hacendado,70.5
