score,nombre_dia,nombre_mercadona,id_maestro,id_dia
87.5,Patatas 4 Kg,Patatas,P-0002,5035
86.48648648648648,Naranjas para zumo bolsa 4 Kg,Zumo pura naranja Hacendado,P-2107,4697
85.71428571428572,Berberechos al natural Sagres 58 g,Berberechos al natural S Hacendado,P-2777,5521
85.71428571428572,Garbanzos pedrosillanos Luengo 1 Kg,Garbanzo pedrosillano Hacendado,P-2557,7446
85.18518518518519,Berberechos al natural Dani 90 g,Berberechos al natural M Hacendado,P-2778,5538
85.18518518518519,Berberechos al natural Dani 63 g,Berberechos al natural M Hacendado,P-2778,5541
83.87096774193549,Horchata Chufi 1 L,Horchata de chufa Hacendado,P-1810,4324
82.75862068965517,Alioli Chovi 180 g,Allioli Chovi,P-2095,7123
82.6086956521739,Mantequilla sin sal Dia Láctea 250 g,Mantequilla sin sal añadida Hacendado,P-2029,4268
82.05128205128204,Sal para hornear Dia 2 Kg,Sal gruesa para hornear Hacendado,P-1684,7253
81.25,Yogur líquido natural Dia Láctea botella 1 Kg,Yogur natural Hacendado,P-0698,4391
81.25,Hielo en cubitos 2 Kg,Cubos de hielo,P-3100,6177
81.08108108108108,Lentejas pardinas Luengo 1 Kg,Lenteja pardina Hacendado,P-2568,7379
81.08108108108108,Lentejas pardinas Luengo 500 g,Lenteja pardina Hacendado,P-2568,7403
80.95238095238095,Bicarbonato sódico Dia 275 g,Bicarbonato de sódio Hacendado,P-1682,7160
80.48780487804879,Cacahuetes tostados sin sal añadida Dia Naturmundo 200 g,Cacahuete tostado Hacendado pelado 0% sal añadida,P-1338,6042
80.0,Champiñón portobello bandeja 250 g,Champiñones Portobello,P-0106,4923
80.0,Endibias 350 g,Endibias,P-0082,4984
80.0,Sal yodada Dia Dia 1 Kg,Sal yodada fina Hacendado,P-1680,7125
79.06976744186046,Espaguetis carbonara 350 g,Spaghetti carbonara Hacendado,P-1723,6091
78.94736842105263,Cebolla dulce malla 1 Kg,Morcilla de cebolla,P-0579,5068
78.78787878787878,Alubias blancas Luengo 1 Kg,Alubia blanca Hacendado,P-2562,7439
78.68852459016394,Pistachos tostados con sal Dia Naturmundo 250 g,Pistacho tostado Hacendado con sal,P-1300,6053
78.04878048780488,Patatas alioli Ensalandia 250 g,Patatas con allioli Hacendado,P-1935,6117
77.92207792207793,Galleta rellena de chocolate Milka bolsa 156 g,Galletas rebuenas Hacendado rellenas de chocolate,P-2455,7896
77.77777777777779,Muesli crujiente con frutas Gran Dia caja 500 g,Muesli Crunchy Hacendado con fruta,P-2264,4741
77.77777777777779,Garbanzos pedrosillanos Dia Vegecampo 1 Kg,Garbanzo pedrosillano Hacendado,P-2557,7400
77.55102040816327,Cafe capuccino Nescafé 140 g,Café con leche cappuccino Hacendado,P-2822,4228
77.41935483870968,Fanta de naranja 2 L,Naranja de mesa,P-0061,6389
77.41935483870968,Fanta de naranja 500 ml,Naranja de mesa,P-0061,6475
77.10843373493977,"Brócoli, coliflor y zanahoria Dia Vegecampo 1 Kg","Coliflor, brócoli y zanahoria Hacendado ultracongelada",P-2224,4864
76.92307692307692,Naranjas de mesa malla 2 Kg,Naranja de mesa,P-0061,4713
76.92307692307692,Alubias blancas cocidas Luengo 400 g,Alubia cocida blanca Hacendado,P-2559,7421
76.71232876712328,Pistachos tostados sin sal añadida Dia Naturmundo 250 g,Pistacho tostado Hacendado 0% sal añadida,P-1302,6040
76.71232876712328,Garbanzos cocidos pedrosillanos Dia Vegecampo 400 g,Garbanzo cocido Pedrosillano Hacendado,P-2555,7362
76.59574468085107,Red bull de albaricoque 250 ml,Mermelada de albaricoque Hacendado,P-3109,6506
76.47058823529412,Yogur natural Dia Láctea pack 8 x 125 g,Yogur natural Hacendado,P-0698,4339
76.47058823529412,Kas de naranja zero 2 L,Zumo de naranja Hacendado,P-2111,6507
76.19047619047619,Berberechos al natural Dia Mari Marinera 90 g,Berberechos al natural M Hacendado,P-2778,5539
76.19047619047619,Cacahuetes fritos con miel Dia Snack Maniac 200 g,Cacahuete frito con miel Hacendado,P-1321,7650
