id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-1779;Aceite de coco virgen Hacendado;525;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1777;Aceite de girasol refinado 0,2º Hacendado;845;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1758;Aceite de oliva 0,4º Hacendado;1975;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1763;Aceite de oliva 1º Hacendado;2085;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1760;Aceite de oliva virgen extra Hacendado;1455;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1762;Aceite de oliva virgen extra Hacendado Gran Selección;595;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1768;Aceite de oliva virgen extra Picual Casa Juncal;485;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-1765;Aceite de oliva virgen Hacendado;1285;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-2341;Aliño de aceite con perejil y ajo Hacendado;18;Despensa;Aceites;Aceite, especias y salsas;Especias
ME-3049;Migas de bonito del norte en aceite de oliva Hacendado;29;Despensa;Aceites;Conservas, caldos y cremas;Conservas de pescado
ME-2648;Pastas de aceite Hacendado;125;Despensa;Aceites;Panadería y pastelería;Galletas y pastas
ME-3058;Sardinillas en aceite de oliva Hacendado;205;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-3061;Sardinillas picantes en aceite de girasol Hacendado;18;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-3059;Sardinillas reducidas en sal en aceite de oliva Hacendado;205;Despensa;Aceites;Aceite, especias y salsas;Aceite
ME-0686;Sérum facial aceite Licopeno Anti Ox ilumina y unifica;60;Despensa;Aceites;Revisar;Revisar
ME-1178;Tortas de aceite Inés Rosales;21;Despensa;Aceites;Revisar;Revisar
ME-1179;Tortas de aceite Inés Rosales sin azúcar;265;Despensa;Aceites;Revisar;Revisar
