ï»¿id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-3959;CÃ¡psulas Cola de caballo Deliplus;385;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3963;CÃ¡psulas Colagen Antiox piel Deliplus;495;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3969;CÃ¡psulas Gases Deliplus;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3955;CÃ¡psulas LaxForte Deliplus;395;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3961;CÃ¡psulas Memory Forte Deliplus;395;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3966;CÃ¡psulas Menopausia Deliplus;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0681;CÃ¡psulas para ojos Regen Skin Deliplus;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3970;CÃ¡psulas ProbiÃ³tico Deliplus;595;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3962;CÃ¡psulas Quemagrasas Deliplus;395;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3965;CÃ¡psulas Spirulina + vitamina B12 Deliplus;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3956;CÃ¡psulas Valeriana Deliplus;415;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0996;Caracola con pasas 10%;10;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4486;CarbÃ³n vegetal Bosque Verde;405;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3345;Cardo troceado Hacendado;195;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0513;Carpaccio de vacuno;41;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1390;CastaÃ±as cocidas y peladas Hacendado;14;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2176;Cayena guindillas Hacendado;136;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2177;Cayena molida Hacendado;165;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1525;Cebollitas Hacendado;165;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1577;Cecina ahumada natural Embutidos Pajariel lonchas;42;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1816;Cepillo de uÃ±as Deliplus;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4082;Cepillo limpiabiberÃ³n y tetina Deliplus;25;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4514;Cepillo para lavar con asa Bosque Verde;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0876;Cepillos interdentales Extrafinos cÃ³nicos Deliplus;15;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0881;Cepillos interdentales Finos cÃ³nicos Deliplus;15;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0890;Cepillos interdentales Micro Deliplus;15;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1478;Cera caliente en tarro Deliplus piel sensible;41;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1479;Cera facial caliente en tarro Deliplus piel sensible;375;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4286;Cera Multisuperficies Bosque Verde;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3319;ChampiÃ±Ã³n entero Hacendado;145;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3318;ChampiÃ±Ã³n laminado Hacendado;18;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2346;Chili con carne Hacendado;28;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0207;Chirla viva;46;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0611;Chistorra;15;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1536;Chopped cocido en lata Hacendado finas lonchas;185;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3344;Chucrut al estilo bÃ¡varo Hengstenberg;22;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0523;Churrasquito de vacuno aÃ±ojo;355;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0887;Cinta dental con cera y sabor menta;25;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1424;Ciruelas desecadas sin hueso Hacendado;214;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2182;Clavo en grano Hacendado;175;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4317;Cloro 5 acciones disoluciÃ³n lenta tabletas para piscina;310;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4313;Cloro rÃ¡pido granulado para piscina;325;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1876;Cocido Hacendado;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1414;Cocktail crunchy sabores Hacendado;175;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1419;Cocktail fruta deshidratada Hacendado;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1412;Cocktail mezcla Hacendado;175;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1416;Cocktail natural Hacendado;27;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1415;Cocktail rodeo Hacendado;185;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1420;Cocktail rumba Hacendado;175;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1698;Coco rallado Hacendado;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0444;Codornices;42;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3948;ColÃ¡geno soluble sabor limÃ³n Colagen;53;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4394;Colgador antipolillas Lavanda Bosque Verde;155;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4392;Colgador antipolillas Ropa Limpia Bosque Verde;155;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4249;Colgador WC Azul limpieza activa Bosque Verde;125;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4246;Colgador WC Azul perfume marino Bosque Verde;125;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4258;Colgador WC DÃ¡lia Bosque Verde;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4259;Colgador WC Maxigotas Spa Bosque Verde;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4257;Colgador WC Power Activ Pino Bref;295;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1096;Combinado de aperitivos Hacendado;16;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1413;Combinado frutos secos, frutas desecadas y semillas de calabaza Hacendado;26;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2172;Comino en grano Hacendado;195;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2171;Comino molido Hacendado;12;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1266;Compresa con alas noche Ausonia;25;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1258;Compresa con alas noche Deliplus;115;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1255;Compresa con alas noche plegada Deliplus Classic;14;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1268;Compresa con alas normal Ausonia;25;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1257;Compresa con alas normal Deliplus;215;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1273;Compresa con alas normal Deliplus Cotton;34;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1263;Compresa con alas normal Evax cotton like;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1269;Compresa con alas super Ausonia;25;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1261;Compresa con alas super Deliplus;215;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1274;Compresa con alas super Deliplus Cotton;34;Bazar y Varios;Otros bazar;Revisar;Revisar
