id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-3959;Cápsulas Cola de caballo Deliplus;385;Bazar y Varios;Otros bazar;;
ME-3963;Cápsulas Colagen Antiox piel Deliplus;495;Bazar y Varios;Otros bazar;;
ME-3969;Cápsulas Gases Deliplus;45;Bazar y Varios;Otros bazar;;
ME-3955;Cápsulas LaxForte Deliplus;395;Bazar y Varios;Otros bazar;;
ME-3961;Cápsulas Memory Forte Deliplus;395;Bazar y Varios;Otros bazar;;
ME-3966;Cápsulas Menopausia Deliplus;45;Bazar y Varios;Otros bazar;;
ME-0681;Cápsulas para ojos Regen Skin Deliplus;50;Bazar y Varios;Otros bazar;;
ME-3970;Cápsulas Probiótico Deliplus;595;Bazar y Varios;Otros bazar;;
ME-3962;Cápsulas Quemagrasas Deliplus;395;Bazar y Varios;Otros bazar;;
ME-3965;Cápsulas Spirulina + vitamina B12 Deliplus;50;Bazar y Varios;Otros bazar;;
ME-3956;Cápsulas Valeriana Deliplus;415;Bazar y Varios;Otros bazar;;
ME-0996;Caracola con pasas 10%;10;Bazar y Varios;Otros bazar;;
ME-4486;Carbón vegetal Bosque Verde;405;Bazar y Varios;Otros bazar;;
ME-3345;Cardo troceado Hacendado;195;Bazar y Varios;Otros bazar;;
ME-0513;Carpaccio de vacuno;41;Bazar y Varios;Otros bazar;;
ME-1390;Castañas cocidas y peladas Hacendado;14;Bazar y Varios;Otros bazar;;
ME-2176;Cayena guindillas Hacendado;136;Bazar y Varios;Otros bazar;;
ME-2177;Cayena molida Hacendado;165;Bazar y Varios;Otros bazar;;
ME-1525;Cebollitas Hacendado;165;Bazar y Varios;Otros bazar;;
ME-1577;Cecina ahumada natural Embutidos Pajariel lonchas;42;Bazar y Varios;Otros bazar;;
ME-1816;Cepillo de uñas Deliplus;19;Bazar y Varios;Otros bazar;;
ME-4082;Cepillo limpiabiberón y tetina Deliplus;25;Bazar y Varios;Otros bazar;;
ME-4514;Cepillo para lavar con asa Bosque Verde;19;Bazar y Varios;Otros bazar;;
ME-0876;Cepillos interdentales Extrafinos cónicos Deliplus;15;Bazar y Varios;Otros bazar;;
ME-0881;Cepillos interdentales Finos cónicos Deliplus;15;Bazar y Varios;Otros bazar;;
ME-0890;Cepillos interdentales Micro Deliplus;15;Bazar y Varios;Otros bazar;;
ME-1478;Cera caliente en tarro Deliplus piel sensible;41;Bazar y Varios;Otros bazar;;
ME-1479;Cera facial caliente en tarro Deliplus piel sensible;375;Bazar y Varios;Otros bazar;;
ME-4286;Cera Multisuperficies Bosque Verde;45;Bazar y Varios;Otros bazar;;
ME-3319;Champiñón entero Hacendado;145;Bazar y Varios;Otros bazar;;
ME-3318;Champiñón laminado Hacendado;18;Bazar y Varios;Otros bazar;;
ME-2346;Chili con carne Hacendado;28;Bazar y Varios;Otros bazar;;
ME-0207;Chirla viva;46;Bazar y Varios;Otros bazar;;
ME-0611;Chistorra;15;Bazar y Varios;Otros bazar;;
ME-1536;Chopped cocido en lata Hacendado finas lonchas;185;Bazar y Varios;Otros bazar;;
ME-3344;Chucrut al estilo bávaro Hengstenberg;22;Bazar y Varios;Otros bazar;;
ME-0523;Churrasquito de vacuno añojo;355;Bazar y Varios;Otros bazar;;
ME-0887;Cinta dental con cera y sabor menta;25;Bazar y Varios;Otros bazar;;
ME-1424;Ciruelas desecadas sin hueso Hacendado;214;Bazar y Varios;Otros bazar;;
ME-2182;Clavo en grano Hacendado;175;Bazar y Varios;Otros bazar;;
ME-4317;Cloro 5 acciones disolución lenta tabletas para piscina;310;Bazar y Varios;Otros bazar;;
ME-4313;Cloro rápido granulado para piscina;325;Bazar y Varios;Otros bazar;;
ME-1876;Cocido Hacendado;19;Bazar y Varios;Otros bazar;;
ME-1414;Cocktail crunchy sabores Hacendado;175;Bazar y Varios;Otros bazar;;
ME-1419;Cocktail fruta deshidratada Hacendado;19;Bazar y Varios;Otros bazar;;
ME-1412;Cocktail mezcla Hacendado;175;Bazar y Varios;Otros bazar;;
ME-1416;Cocktail natural Hacendado;27;Bazar y Varios;Otros bazar;;
ME-1415;Cocktail rodeo Hacendado;185;Bazar y Varios;Otros bazar;;
ME-1420;Cocktail rumba Hacendado;175;Bazar y Varios;Otros bazar;;
ME-1698;Coco rallado Hacendado;13;Bazar y Varios;Otros bazar;;
ME-0444;Codornices;42;Bazar y Varios;Otros bazar;;
ME-3948;Colágeno soluble sabor limón Colagen;53;Bazar y Varios;Otros bazar;;
ME-4394;Colgador antipolillas Lavanda Bosque Verde;155;Bazar y Varios;Otros bazar;;
ME-4392;Colgador antipolillas Ropa Limpia Bosque Verde;155;Bazar y Varios;Otros bazar;;
ME-4249;Colgador WC Azul limpieza activa Bosque Verde;125;Bazar y Varios;Otros bazar;;
ME-4246;Colgador WC Azul perfume marino Bosque Verde;125;Bazar y Varios;Otros bazar;;
ME-4258;Colgador WC Dália Bosque Verde;13;Bazar y Varios;Otros bazar;;
ME-4259;Colgador WC Maxigotas Spa Bosque Verde;13;Bazar y Varios;Otros bazar;;
ME-4257;Colgador WC Power Activ Pino Bref;295;Bazar y Varios;Otros bazar;;
