supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
Carrefour,Prince Goût Chocolat,,LU,Cereales y Galletas,,300 g,https://es.openfoodfacts.org/producto/7622210449283,https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.400.jpg,7622210449283
Carrefour,Edelbitterschokolade Mild 90%,,"Lindt EXCELLENCE,Lindt",Dulces,,100 gram,https://es.openfoodfacts.org/producto/3046920029759,https://images.openfoodfacts.org/images/products/304/692/002/9759/front_en.492.400.jpg,3046920029759
Carrefour,Excellence Noir Intense 70% Cacao,,Lindt,Dulces,,100 g,https://es.openfoodfacts.org/producto/3046920022651,https://images.openfoodfacts.org/images/products/304/692/002/2651/front_en.159.400.jpg,3046920022651
Carrefour,Excellence Noir Puissant 85% Cacao,,Lindt,Dulces,,100g,https://es.openfoodfacts.org/producto/3046920022606,https://images.openfoodfacts.org/images/products/304/692/002/2606/front_en.102.400.jpg,3046920022606
Carrefour,Nutella,,Nutella,Otros,,1 kg,https://es.openfoodfacts.org/producto/3017620425035,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,3017620425035
Carrefour,Geröstete Mandel Ohne Zucker,,Alpro,Bebidas,,1 l,https://es.openfoodfacts.org/producto/5411188112709,https://images.openfoodfacts.org/images/products/541/118/811/2709/front_en.927.400.jpg,5411188112709
Carrefour,Coca-Cola,,Coca-Cola,Bebidas,,330ml,https://es.openfoodfacts.org/producto/5449000214911,https://images.openfoodfacts.org/images/products/544/900/021/4911/front_fr.293.400.jpg,5449000214911
Carrefour,Flocons d'avoine,,Bjorg,Bebidas,,500 g,https://es.openfoodfacts.org/producto/3229820019307,https://images.openfoodfacts.org/images/products/322/982/001/9307/front_fr.300.400.jpg,3229820019307
Carrefour,"Muesli Raisin, Figue, Abricot",,Bjorg,Frutas y Verduras,,375 g,https://es.openfoodfacts.org/producto/3229820129488,https://images.openfoodfacts.org/images/products/322/982/012/9488/front_fr.238.400.jpg,3229820129488
Carrefour,Tuc Original,,"Tuc,LU,Mondelēz",Snacks,,100g,https://es.openfoodfacts.org/producto/5410041001204,https://images.openfoodfacts.org/images/products/541/004/100/1204/front_en.520.400.jpg,5410041001204
Carrefour,Special Muesli 30% fruits & noix,,Jordans,Frutas y Verduras,,750 g,https://es.openfoodfacts.org/producto/5010477348678,https://images.openfoodfacts.org/images/products/501/047/734/8678/front_fr.226.400.jpg,5010477348678
Carrefour,Coca-Cola Original Taste,,Coca-Cola,Bebidas,,0.0 kg,https://es.openfoodfacts.org/producto/5449000000996,https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.1002.400.jpg,5449000000996
Carrefour,RICORE Original,,"Nestlé, Ricore",Bebidas,,100 g,https://es.openfoodfacts.org/producto/3033710073467,https://images.openfoodfacts.org/images/products/303/371/007/3467/front_en.330.400.jpg,3033710073467
Carrefour,Excellence 85% Cacao Rich Dark,,Lindt,Dulces,,100g,https://es.openfoodfacts.org/producto/3046920028363,https://images.openfoodfacts.org/images/products/304/692/002/8363/front_en.432.400.jpg,3046920028363
Carrefour,Excellence Noir Corsé 78% Cacao,,Lindt & Sprungli,Dulces,,100 gram,https://es.openfoodfacts.org/producto/3046920010047,https://images.openfoodfacts.org/images/products/304/692/001/0047/front_en.260.400.jpg,3046920010047
Carrefour,CORN FLAKES,,Kellogg's,Bebidas,,500 g,https://es.openfoodfacts.org/producto/3159470000120,https://images.openfoodfacts.org/images/products/315/947/000/0120/front_en.147.400.jpg,3159470000120
Carrefour,Tomato Ketchup BIO,,Heinz,Conservas,,580 g,https://es.openfoodfacts.org/producto/8715700407760,https://images.openfoodfacts.org/images/products/871/570/040/7760/front_en.141.400.jpg,8715700407760
Carrefour,Cruesli Chocolat noir,,Quaker,Bebidas,,450 g,https://es.openfoodfacts.org/producto/3168930010906,https://images.openfoodfacts.org/images/products/316/893/001/0906/front_en.99.400.jpg,3168930010906
Carrefour,Lightly sea salted crisps,,Tyrrell's,Bebidas,,150g,https://es.openfoodfacts.org/producto/5060042641000,https://images.openfoodfacts.org/images/products/506/004/264/1000/front_en.179.400.jpg,5060042641000
Carrefour,Flocons d'avoine complète,,Quaker,Bebidas,,550 g,https://es.openfoodfacts.org/producto/3168930009078,https://images.openfoodfacts.org/images/products/316/893/000/9078/front_en.148.400.jpg,3168930009078
Carrefour,Houmous extra - Pois chiches français & graines de sésame,,L'atelier Blini,Bebidas,,175 g,https://es.openfoodfacts.org/producto/3292070005161,https://images.openfoodfacts.org/images/products/329/207/000/5161/front_fr.146.400.jpg,3292070005161
Carrefour,Chocolat au lait,,Milka,Dulces,,100 g,https://es.openfoodfacts.org/producto/3045140105502,https://images.openfoodfacts.org/images/products/304/514/010/5502/front_fr.583.400.jpg,3045140105502
Carrefour,99% Cocoa / Cacao,,Lindt Excellence,Dulces,,50g,https://es.openfoodfacts.org/producto/3046920028721,https://images.openfoodfacts.org/images/products/304/692/002/8721/front_en.295.400.jpg,3046920028721
Carrefour,"Muesli bio 36% fruits, noix & graines",,Jordans,Frutas y Verduras,,500 g,https://es.openfoodfacts.org/producto/5010477348630,https://images.openfoodfacts.org/images/products/501/047/734/8630/front_fr.144.400.jpg,5010477348630
Carrefour,Coca-Cola Zero Sugar,,Coca-Cola,Bebidas,,330ml,https://es.openfoodfacts.org/producto/5449000131805,https://images.openfoodfacts.org/images/products/544/900/013/1805/front_en.687.400.jpg,5449000131805
Carrefour,Muesli Croustillant Noix de pécan & noix du Brésil,,Quaker,Bebidas,,500 g,https://es.openfoodfacts.org/producto/3168930009795,https://images.openfoodfacts.org/images/products/316/893/000/9795/front_fr.96.400.jpg,3168930009795
Carrefour,Chocolat noir 85% Madagascar,,Ethiquable,Dulces,,100 g,https://es.openfoodfacts.org/producto/3760091722508,https://images.openfoodfacts.org/images/products/376/009/172/2508/front_fr.105.400.jpg,3760091722508
Carrefour,Basilico 400g eu,,Barilla,Conservas,,400 g,https://es.openfoodfacts.org/producto/8076809513722,https://images.openfoodfacts.org/images/products/807/680/951/3722/front_fr.1016.400.jpg,8076809513722
Carrefour,Barres de fruits secs & noix Myrtilles,,nākd,Frutas y Verduras,,140 g,https://es.openfoodfacts.org/producto/5060088707685,https://images.openfoodfacts.org/images/products/506/008/870/7685/front_en.105.400.jpg,5060088707685
Carrefour,Pâte à tartiner Nutella noisettes et cacao - 750g,,Ferrero,Otros,,750 g,https://es.openfoodfacts.org/producto/3017620421006,https://images.openfoodfacts.org/images/products/301/762/042/1006/front_fr.347.400.jpg,3017620421006
Carrefour,Nature aux Amandes - Végétal soja & amande,,Alpro,Lácteos y Huevos,,0.5 kg,https://es.openfoodfacts.org/producto/5411188118961,https://images.openfoodfacts.org/images/products/541/118/811/8961/front_fr.195.400.jpg,5411188118961
Carrefour,Chocolat noir 80% Équateur intense et floral,,Ethiquable,Dulces,,100 g,https://es.openfoodfacts.org/producto/3760091726667,https://images.openfoodfacts.org/images/products/376/009/172/6667/front_fr.100.400.jpg,3760091726667
Carrefour,Muesli aux fruits,,Bjorg,Frutas y Verduras,,750 g,https://es.openfoodfacts.org/producto/3229820116716,https://images.openfoodfacts.org/images/products/322/982/011/6716/front_fr.225.400.jpg,3229820116716
Carrefour,Chocolate negro,,"Carrefour BIO, Carrefour",Dulces,,100 g,https://es.openfoodfacts.org/producto/3270190127765,https://images.openfoodfacts.org/images/products/327/019/012/7765/front_en.168.400.jpg,3270190127765
Carrefour,Fromage de France,,Caprice des Dieux,Lácteos y Huevos,,300g,https://es.openfoodfacts.org/producto/3161711001971,https://images.openfoodfacts.org/images/products/316/171/100/1971/front_en.146.400.jpg,3161711001971
