id,nombre_comercial,id_externo,precio
6865,Whisky 8 años Dyc 70 cl,76080,14.49
4065,Pan de leche La bella easo bolsa 350 g,34772,3.19
4211,Magnum almendrado 4 x 75 g,55446,4.49
6455,Pepsi zero azúcar 1.75 L,5167,1.5
5056,Calabaza 1.6 Kg aprox.,75926,3.18
5057,Patatas para cocer 2 Kg,296355,3.99
5041,Pimiento rojo unidad 320 g aprox.,74,1.18
5042,Ajos malla 250 g,17653,1.89
4006,Leche crecimiento con galleta maría +3 años Nestlé 1 L,155416,2.39
6178,Hielo picado 2 Kg,243252,1.5
4121,Helado bombón chocolate con leche Dia Temptation 4 x 84 g,19479,2.39
6311,Agua con gas Font Vella 500 ml,273476,0.94
6373,Coca-Cola 330 ml,660,0.95
6374,Coca-Cola 2 L,659,2.15
4329,Horchata premium Dia 1 L,299859,1.69
4330,Horchata premium Or Xata 1 L,272092,1.85
6377,Coca-Cola 1.25 L,7492,1.55
4331,Bifrutas dark Pascual 330 ml,307729,1.25
6547,Pepsi pack 6 x 1.75 L,7659P6,9.0
6548,Pepsi pack 24 x 330 ml,7658P24,18.96
4393,Bífidus con manzana asada Dia pack 4 x 125 g,262825,1.29
4691,Kiwi amarillo Zespri bandeja 500 g,237458,3.99
4692,Arándanos bandeja 300 g,285489,4.49
4693,Manzana Golden granel 500 g aprox.,97,1.13
3923,Leche semidesnatada sin lactosa Central Lechera Asturiana pack 6 x 1 L,148777P6,7.5
3928,Leche entera Central Lechera Asturiana pack 6 x 1.5 L,74720P6,11.94
3932,Arroz con leche Dia Caprichoso pack 4 x 125 g,85630,1.3
3937,Leche entera Central Lechera Asturiana pack 6 x 2.2 L,184889P6,15.9
3938,Leche semidesnatada sin lactosa Central Lechera Asturiana 3 x 200 ml,307402,1.39
3939,Leche desnatada sin lactosa Central Lechera Asturiana 1 L,169355,1.19
3957,Leche desnatada suprema Central Lechera Asturiana 1 L,250631,1.45
3961,Leche en polvo Sveltesse 600 g,616,9.19
3962,Leche desnatada Central Lechera Asturiana pack 6 x 1.5 L,74722P6,10.74
3972,Leche desnatada suprema Central Lechera Asturiana pack 6 x 1 L,250631P6,8.7
3979,Leche entera sin lactosa Central Lechera Asturiana 1 L,240523,1.29
3987,Leche infantil crecimiento Peques 3 Puleva 1 L,78262,1.89
3994,Leche crecimiento Peques 2 Puleva 1 L,83977,1.89
3998,Leche desnatada sin lactosa dinamic protein Pascual 1 L,306021,1.59
3999,Bebida láctea omega 3 sin Lactosa Puleva 1 L,222584,1.95
4002,Leche infantil en polvo de inicio de 0 a 6 meses Nativa 800 g,129742,11.95
4004,Bebida láctea desnatada con colágeno vita calcio Puleva 1 L,307518,1.75
4005,Bebida láctea infantil de crecimiento Peques 3 Puleva 3 x 200 ml,307334,2.0
4008,Bebida láctea crecimiento original +12 meses Nativa 1 L,1479,1.99
4011,Bebida láctea crecimiento con galleta maria Nativa 1 L,182329,1.99
4013,Leche solar hydra 24 spf 30 Delial bote 175 ml,306135,13.49
4017,Leche desnatada sin lactosa dinamic protein Pascual pack 6 x 1 L,306021P6,9.54
4018,Leche desnatada omega 3 Puleva pack 6 x 1 L,30052P6,10.5
4020,Leche entera calcio Puleva pack 6 x 1 L,27258P6,9.54
6309,Agua con gas Perrier 500 ml,247772,1.19
4021,Leche entera sin lactosa Central Lechera Asturiana pack 6 x 1 L,240523P6,7.74
4023,Bebida láctea omega 3 sin lactosa Puleva pack 6 x 1 L,222584P6,11.7
4024,Leche desnatada sin lactosa Central Lechera Asturiana pack 6 x 1 L,169355P6,7.14
4034,Leche desmaquillante calmante pétalos de rosa Dia Imaqe bote 250 ml,272022,1.55
4696,Kiwi granel 500 g aprox.,78,2.0
4035,Chocolate con leche relleno con caramelo y avellanas Milka 300 g,99783,5.75
4037,Crema solar SPF 50+ formato viaje Dia Imaqe 100 ml,288680,4.75
4038,Crema solar SPF 50+ Dia Imaqe 250 ml,274482,5.99
4039,Leche solar protectora sensitive advanced spf 50 Delial bote 400 ml,161668,15.99
4040,Bebida de avena barista Alpro pack 8 x 1 L,289229P8,18.32
4042,Pan de leche El molino de Dia bolsa 350 g,288023,1.49
4049,Bollería con pepitas de chocolate con leche Weikis bolsa 240 g,100947,2.85
4056,Huevos de chocolate relleno de leche y avellanas Kinder bolsa 125 g,132928,3.29
4062,Dulce de leche Mardel frasco 450 g,87057,3.39
4063,Pan de leche Brioche Pasquier bolsa 280 g,124812,2.59
4066,Huevos de chocolate relleno de leche y avellanas Kinder bolsa 200 g,41749,4.49
4068,Chocolate con leche con cereales Nestlé Crunch 100 g,12362,2.19
4070,Galletas finas cubiertas de chocolate con leche sin azúcares Gullón bolsa 150 g,284373,2.69
4071,Chocolate con leche suizo con miel y almendras Toblerone 3 x 50 g,49862,4.8
4081,Roscos de galleta con chocolate con leche chocoaros Galleteca de Dia bolsa 128 g,84122,1.0
4085,Mini barritas de chocolate con leche y avellanas Kinder bolsa 108 g,184718,2.99
4086,Palitos de galleta recubiertos de chocolate con leche Mikado estuche 75 g,2755,2.25
4087,Grageas de chocolate con leche Lacasitos bolsa 190 g,144409,3.99
4092,Barritas de chocolate con leche y avellanas Kinder bolsa 3 x 43 g,107473,3.49
4093,Gel de ducha reparador leche de coco Fruit Revolution Dia Imaqe botella 750 ml,273951,1.55
4094,Gel de ducha leche y miel Palmolive NB botella 600 + 100 ml,198131,1.99
4095,Puré de patatas Mousline 230 g,551,2.49
4097,Cacahuete recubierto de chocolate con leche M&M's bolsa 45 g,126410,1.49
4103,Puré de patatas con leche Mousline 230 g,80291,2.69
6310,Agua con gas Fonter 1 L,47769,0.99
4108,Nata para montar Central Lechera Asturiana 500 ml,53765,2.85
4111,Gel de ducha nutritivo con proteínas de leche Dia Imaqe botella 1.5 L,273850,2.35
4112,Bolitas de chocolate rellenas de leche malteada Maltesers bolsa 175 g,70230,4.29
4114,Aftersun leche hidratante reparadora Ecran 400 ml,81675,6.99
4115,Queso quark con fresa alto en proteínas Dia Láctea 200 g,297312,1.29
4122,Tarrina de helado de dulce de leche Dia Temptation 525 g,118822,2.99
4123,Helado bombón galleta y caramelo Dia Temptation 3 x 71 g,291273,2.49
4124,Leche solar protege & hidrata spf 30 Nivea bote 200 ml,161727,12.99
4127,Chocolate con leche crujiente Dia Temptation 75 g,300057,0.95
4128,Chocolate con leche con galleta Dia Temptation 100 g,300974,1.35
4132,Chocolate con leche con relleno sabor dulce de leche Nestlé Extrafino  83 g,297961,1.68
4133,Galletas choco leche Artiach Dinosaurus caja 255 g,296119,3.55
4134,Chocolate con leche relleno strawberry cheesecake Milka MMMAX 300 g,267908,4.95
4135,Chocolate con leche relleno de galleta Dinosaurus Nestlé Extrafino 84 g,295387,1.68
4136,Chocolate con leche con trozos biscoff lotus Milka 90 g,306951,1.99
4138,Chocolate con leche para repostería Dr. Oetker bolsa 150 g,298091,3.99
4139,Papilla líquida leche y cereales galleta Nestlé caja 2 x 250 ml,83913,2.59
4141,Chocolate con leche para postres Nestlé 170 g,178025,4.09
4149,Chocolate con leche con relleno cremoso y galletas María Nestlé Extrafino 83 g,302624,1.85
4151,Chocolate con leche relleno de galleta filipinos Nestlé Extrafino 84 g,309238,1.85
4152,Chocolate con leche relleno de trocitos de maíz Nestlé Extrafino 84 g,309240,1.85
4155,Nata montada Central Lechera Asturiana 250 g,5691,2.79
4156,Bollitos rellenos de leche Phoskitos caja 160 g,43712,2.99
4157,Bizcochitos rellenos de leche y chocolate Cuétara Tostarica caja 160 g,226662,2.99
4158,Mini galletas choco leche Artiach Dinosaurus bolsa 120 g,304650,1.99
4159,Mousse de chocolate con leche Dia Caprichoso pack 4 x 60 g,46923,1.15
4160,Bebida de fruta y leche tropical Dia Saborfera 6 x 200 ml,173780,1.2
4161,Bebida de fruta y leche mediterráneo Dia Saborfera pack 6 x 200 ml,146653,1.2
4162,Bebida de fruta y leche tropical Dia Saborfera 1 L,50689,0.95
4163,Bebida de fruta y leche tropical Don Simón pack 6 x 200 ml,289860,1.5
4164,Nata para cocinar Central Lechera Asturiana 500 ml,56937,2.85
4165,Bebida de fruta y leche mediterráneo Dia Saborfera 1 L,163217,0.95
4166,Bebida de fruta y leche de melón y sandía sin azúcares añadidos Dia Saborfera pack 3 x 330 ml,307227,1.25
4167,Bebida de fruta y leche tropical Dia Saborfera pack 3 x 330 ml,67783,1.05
4169,Bebida de fruta y leche caribe Don Simón pack 6 x 200 ml,120878,1.5
4170,Cápsulas de café con leche Dia Cafetería 16 unidades,308674,3.55
4172,Bebida de fruta y leche mediterráneo Dia Saborfera pack 3 x 330 ml,163216,1.05
