id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Aceite de oliva virgen extra Coosur 3l,15.75,"(5,25€/LITRO)|(7,98€/LITRO)",,https://www.ahorramas.com/aceite-de-oliva-virgen-extra-coosur-3l-49622.html,alimentacion
,Salsa de tomate receta artesana Solís 350g,2.5,"(7,14€/KILO)",,https://www.ahorramas.com/salsa-de-tomate-receta-artesana-solis-350g-51413.html,alimentacion
,Atún claro Alipende pack 6 en aceite oliva,4.5,"(14,42€/KG.PESO ESC)|(15,71€/KG.PESO ESC)",,https://www.ahorramas.com/atun-claro-alipende-pack-6-en-aceite-oliva-84950.html,alimentacion
,Tomate triturado categoría extra sin gluten Alipende 400g,0.65,"(1,63€/KILO)",,https://www.ahorramas.com/tomate-triturado-categoria-extra-sin-gluten-alipende-400g-95857.html,alimentacion
,Mayonesa de ajo asado Hellmann´s 250ml,2.45,"(9,80€/LITRO)",,https://www.ahorramas.com/mayonesa-de-ajo-asado-hellmanns-250ml-77704.html,alimentacion
,"Huevos de gallinas sueltas en el gallinero Alipende 24u ""clase m""",5.6,"(2,80€/DOCENA)",,https://www.ahorramas.com/huevos-de-gallinas-sueltas-en-el-gallinero-alipende-24u-clase-m-31201.html,alimentacion
,"Huevos de gallinas sueltas en el gallinero Alipende 12u ""clase l""",3.2,"(3,20€/DOCENA)",,https://www.ahorramas.com/huevos-de-gallinas-sueltas-en-el-gallinero-alipende-12u-clase-l-34649.html,alimentacion
,Tomate frito con aceite de oliva Solis 360g,1.69,"(4,69€/KILO)",,https://www.ahorramas.com/tomate-frito-con-aceite-de-oliva-solis-360g-70078.html,alimentacion
,Barra horno super 250g,0.5,"(2,00€/KILO)",,https://www.ahorramas.com/barra-horno-super-250g-60527.html,alimentacion
,Arroz Alipende 1kg largo,1.25,"(1,25€/KILO)",,https://www.ahorramas.com/arroz-alipende-1kg-largo-67686.html,alimentacion
,Azúcar blanco Azucarera 1kg,1.0,"(1,00€/KILO)",,https://www.ahorramas.com/azucar-blanco-azucarera-1kg-54770.html,alimentacion
,Garbanzo cocido Alipende 400g,0.85,"(2,13€/KG.PESO ESC)",,https://www.ahorramas.com/garbanzo-cocido-alipende-400g-60125.html,alimentacion
,Huevos camperos Alipende 12 unidades,3.5,"(3,50€/DOCENA)",,https://www.ahorramas.com/huevos-camperos-alipende-12-unidades-42845.html,alimentacion
,Maíz dulce Celorrio Pack 3,1.55,"(3,69€/KG.PESO ESC)",,https://www.ahorramas.com/maiz-dulce-celorrio-pack-3-44666.html,alimentacion
,"Huevos de gallinas sueltas en el gallinero Alipende 12u ""clase l-xl""",4.3,"(4,30€/DOCENA)",,https://www.ahorramas.com/huevos-de-gallinas-sueltas-en-el-gallinero-alipende-12u-clase-l-xl-37066.html,alimentacion
