id_ahorramas,nombre_ahorramas,id_catalogo,nombre_catalogo,score,alt1_id,alt1_nombre,alt1_score,alt2_id,alt2_nombre,alt2_score,categoria_ah
AM-83450,"Alimento completo para perros con vacuno Meque 1,2kg",CAT-3853,Alimento completo conejos enanos Granzoo,69.76744186046511,CAT-3848,Alimento completo para periquitos Granzoo,68.96551724137932,CAT-3852,Alimento completo para loros y cotorras Granzoo,62.365591397849464,
AM-60859,Snack palitos para perro Meque pollo 200g,CAT-0111,Snack nuggets perro adulto 80% pollo,68.57142857142857,CAT-3845,Snack palitos perro adulto con pollo y ternera,65.85365853658536,CAT-0701,Snack barritas perro adulto de pollo e hígado,64.19753086419753,
AM-51475,Comida húmeda perro Meque rico en pollo con cordero 300g,CAT-0229,Huesos de cuero con pollo y zanahoria perro adulto,61.386138613861384,CAT-0814,"Comida perro júnior Supreme con pollo fresco, frutas y verduras",57.89473684210527,CAT-0330,Trozos en gelatina perro adulto Delikuit con pollo,57.425742574257434,
AM-63507,"Comida húmeda para gato adulto Gourmet Gold Foundant con Salmón, Pollo y Buey 12 latas",CAT-0265,"Comida gato adulto Supreme con pollo, frutas y verduras",61.31386861313868,CAT-3561,"Comida gato adulto con salmón, atún, frutas y verduras",60.29411764705883,CAT-0266,"Comida gato adulto Supreme con salmón, frutas y verduras",59.42028985507246,
AM-84662,"Alimento completo para gatos con salmón, trucha y verduras Meque 400g",CAT-3829,"Bocaditos en salsa gato adulto Lechat Excellence con salmón, trucha  y verduras",64.7887323943662,CAT-0212,Salmón con verduras Listo para Comer,64.0,CAT-0266,"Comida gato adulto Supreme con salmón, frutas y verduras",63.33333333333333,
AM-51584,LOTE 1kg de pechugas + 1kg de traseros de pollo,CAT-2890,Filetes pechuga de pollo extra tiernos,72.72727272727273,CAT-2939,Tiras de pechuga de pollo al natural,72.0,CAT-1606,Tiras de pechuga pollo al horno,68.57142857142857,frescos
AM-84663,"Alimento completo para gatos con vacuno, pollo y verduras Meque 400g",CAT-3852,Alimento completo para loros y cotorras Granzoo,63.63636363636363,CAT-0488,"Comida perro adulto con pollo, ternera, frutas y verduras",63.33333333333333,CAT-0506,"Comida gato adulto con pollo, ternera, frutas y verduras",62.18487394957983,mascotas
AM-10282,Calabacín,CAT-2305,Calabacín verde,75.0,CAT-3445,Calabacín blanco,72.0,CAT-0390,Crema de calabacín,66.66666666666667,
AM-11895,Pechuga de pollo amarillo Pazo de Pías,CAT-2939,Tiras de pechuga de pollo al natural,64.86486486486487,CAT-2542,Pechugas enteras de pollo,63.49206349206349,CAT-2892,Filetes de pechuga de pollo adobada,63.01369863013699,
AM-75248,Plátano canario Gabaceras,CAT-3388,Plátano de Canarias IGP,66.66666666666667,CAT-1963,"Papilla plátano, mandarina y pera +4 meses",57.57575757575757,CAT-1420,Garbanzo cocido Pedrosillano,56.60377358490566,
AM-43243,Naranja Fontestad,CAT-3403,Naranja de mesa,68.75,CAT-1615,Helado de naranja,64.70588235294117,CAT-1277,Lasaña boloñesa,62.5,
AH-98137,Aceite oliva virgen extra Hojiblanca 5L,CAT-0013,Aceite de oliva virgen extra,78.125,CAT-0004,Aceite de oliva virgen,72.41379310344827,CAT-0014,Aceite de oliva virgen extra Picual Casa Juncal,72.28915662650603,alimentacion
AH-98139,Palomitas punto de sal microondas s/gluten Popitas pack 3,CAT-1168,Palomitas de maíz con sal para microondas,62.5,CAT-0751,Risotto de setas para microondas ultracongelado,58.82352941176471,CAT-1004,Palomitas de maíz dulces para microondas,56.84210526315789,alimentacion
AH-98140,Patatas cocidas enteras sin gluten Celorrio 400g,CAT-0549,Pasta fusilli sin gluten Felicia,64.0,CAT-2657,Galletas cookies sin gluten y sin lactosa,61.904761904761905,CAT-2717,Pasta estrellas sin gluten Felicia,59.74025974025974,alimentacion
AM-38107,Lasaña La Cocinera barbacoa 500g,CAT-1232,Pipas girasol barbacoa,65.3061224489796,CAT-2590,Salsa Barbacoa,63.41463414634146,CAT-1276,Lasaña boloñesa familiar,62.745098039215684,congelados
AM-51413,Salsa de tomate receta artesana Solís 350g,CAT-0385,Tomate frito receta artesana,70.76923076923076,CAT-3007,Atún en salsa de tomate,70.0,CAT-3089,Tomate seco en aceite de oliva,62.68656716417911,alimentacion
AM-77704,Mayonesa de ajo asado Hellmann´s 250ml,CAT-0311,Mayonesa Hellmann's,70.58823529411764,CAT-3082,Caldo de pollo bajo en sal,58.62068965517242,CAT-0886,Migas de bacalao desaladas,55.172413793103445,alimentacion
AM-60527,Barra horno super 250g,CAT-0351,Compresa con alas super,60.0,CAT-2431,Compresa sin alas super,60.0,CAT-2876,Arreglo para arroz al horno,59.09090909090908,alimentacion
AM-55316,Solomillo de pollo kentucky Fripozo 250g,CAT-2540,Solomillos de pollo,66.66666666666667,CAT-2888,Solomillo de pavo,57.692307692307686,CAT-2587,Solomillo de cerdo,56.60377358490566,congelados
AM-82526,Calabacín fries Maheso 300g,CAT-0390,Crema de calabacín,75.0,CAT-2305,Calabacín verde,64.86486486486487,CAT-0223,Crema de calabaza,61.53846153846154,congelados
AM-27034,Patatas fritas gajo McCain 750g rustic,CAT-0981,Patatas fritas paja,69.23076923076923,CAT-1348,Patatas fritas sabor chili y lima,57.57575757575757,CAT-2278,Patatas fritas onduladas sabor jamón serrano,57.14285714285714,
AM-38871,Lasaña La Cocinera boloñesa 500g,CAT-1276,Lasaña boloñesa familiar,74.50980392156863,CAT-1277,Lasaña boloñesa,71.42857142857143,CAT-2597,Salsa de tomate Boloñesa,62.745098039215684,
AM-54298,Gyoza de pollo Leroy 396g,CAT-2559,Mollejas de pollo,64.86486486486487,CAT-2490,Pollo entero,62.5,CAT-1197,Patas de pollo,58.82352941176471,
AM-58779,Medallones de merluza Pescanova 400g,CAT-0892,Medallones de merluza del Cabo ultracongelados,64.93506493506493,CAT-3808,Merluza media pieza a rodajas,63.33333333333333,CAT-0960,Medio melón piel de sapo,61.81818181818181,
AM-54770,Azúcar blanco Azucarera 1kg,CAT-1651,Azúcar blanco,72.22222222222221,CAT-1667,Azúcar moreno de caña,59.09090909090908,CAT-0940,Refresco cola Zero azúcar,58.33333333333333,alimentacion
AM-42845,Huevos camperos Alipende 12 unidades,CAT-1908,Picos camperos,75.86206896551724,CAT-3627,Huevos cocidos,68.96551724137932,CAT-0471,Huevos de gallinas camperas,66.66666666666667,alimentacion
AH-98123,Maíz dulce Celorrio Pack 3,CAT-3619,Maíz dulce en mazorca cocido,69.23076923076923,CAT-1609,Chorizo dulce extra,60.46511627906976,CAT-0531,Maíz dulce,58.82352941176471,alimentacion
AH-98126,Judías verdes anchas sin gluten Alipende 360g,CAT-0987,Aceitunas verdes sin hueso,66.66666666666667,CAT-1964,Judías verdes extrafinas,65.45454545454545,CAT-0991,Aceitunas verdes sin hueso aliñadas,63.63636363636363,alimentacion
AH-98129,Arroz integral Brillante pack 2,CAT-1400,Arroz integral largo,65.3061224489796,CAT-2262,5 Barras de pan 51% integral,64.15094339622642,CAT-2710,Arroz cocido integral Sabroz,63.1578947368421,alimentacion
AH-98130,Galletas de chocolate Alipende 500g,CAT-2655,Galletas con chocolate blanco,76.0,CAT-0967,Fideos de chocolate,75.0,CAT-1627,Helado de chocolate,75.0,alimentacion
AH-98132,Galleta Tostarica de Cuétara 760g + 100g,CAT-2355,Galletas tostadas Animadas,64.28571428571428,CAT-2636,Galletas María dorada,62.745098039215684,CAT-0344,Galletas tostadas,59.57446808510638,alimentacion
AH-98133,Arroz basmati Brillante pack 2,CAT-2709,Arroz cocido basmati Sabroz,61.81818181818181,CAT-1290,Pollo al curry con arroz basmati,56.666666666666664,CAT-2606,Morcilla de arroz y cebolla,54.54545454545454,alimentacion
AM-22105,"Costillar de cerdo duroc entero aprox 1,6kg",CAT-2576,Costilla de cerdo ibérico adobada,68.57142857142857,CAT-2572,Costillas de cerdo carnosas a tacos,66.66666666666667,CAT-3922,Codillo de cerdo asado,57.6271186440678,
AM-11896,Traseros de pollo amarillo Pazo de Pías,CAT-2543,Cuartos traseros familiar de pollo,68.49315068493152,CAT-2544,Cuartos traseros de pollo,65.625,CAT-2939,Tiras de pechuga de pollo al natural,64.0,frescos
AM-52028,"Agua mineral natural Nestlé Aquarel botella 1,5 l",CAT-2609,Agua mineral grande Nestlé Aquarel,75.32467532467533,CAT-1282,Agua de peinado cabello Aqua Styling,58.22784810126582,CAT-2607,Agua mineral pequeña Cortes tapón infantil,56.470588235294116,
AM-26464,Refresco cola Coca-Cola 2l pack botella 2 zero azúcar zero cafeína,CAT-0954,Refresco cola Zero azúcar Zero cafeína,76.76767676767678,CAT-0783,Refresco Coca-Cola Zero azúcar,65.93406593406593,CAT-0824,Refresco Coca-Cola Zero Zero,62.92134831460674,
AM-51548,Cerveza rubia especial Mahou 5 Estrellas pack 12 latas 33cl,CAT-0904,Cerveza especial Estrella Galicia,74.07407407407408,CAT-2357,Cerveza especial mini Mahou,64.0,CAT-2086,Cerveza especial Mahou,62.857142857142854,
AM-78897,Refresco cola Coca-Cola botella 2l pack 4 zero azúcar,CAT-0783,Refresco Coca-Cola Zero azúcar,76.92307692307692,CAT-0940,Refresco cola Zero azúcar,68.49315068493152,CAT-0954,Refresco cola Zero azúcar Zero cafeína,67.44186046511628,
AM-58716,Anillos a la romana sin gluten Pescanova 400g,CAT-2637,Galletas María sin gluten y sin lactosa,63.29113924050633,CAT-2935,Anillas de pota a la romana ultracongeladas,62.65060240963856,CAT-2657,Galletas cookies sin gluten y sin lactosa,59.25925925925925,
AH-98134,Tiburón Alipende 500g,CAT-0546,Pasta tiburón,70.0,CAT-2826,Helado turrón,50.0,CAT-3459,Limón,50.0,alimentacion
AH-98135,Placas de lasaña El Pavo 18unid,CAT-1568,Placas para canelones El Pavo,66.66666666666667,CAT-1650,Placas para lasaña precocidas El Pavo,61.76470588235294,CAT-2803,Lasaña de atún ultracongelada,60.0,alimentacion
AM-81262,Pizza Ristorante Dr Oetker 340g 4 formaggi,CAT-1909,Pizza Formaggi 4 quesos,60.71428571428572,CAT-0733,Pizza Pepperoni barbacoa ultracongelada,51.35135135135135,CAT-0554,Tomate frito Hida,50.0,congelados
AM-76572,Pizza Ristorante Dr Oetker 340g prosciutto,CAT-0723,Pizza Prosciutto jamón y queso,62.68656716417911,CAT-0681,Pizza Kebab con pollo asado ultracongelada,53.16455696202531,CAT-1366,Picadillo de variantes,50.847457627118644,congelados
AM-38870,Canelones La Cocinera carne 500g,CAT-2341,Canelones de carne ultracongelados,72.1311475409836,CAT-1289,Canelones de carne y boletus,65.45454545454545,CAT-1568,Placas para canelones El Pavo,60.71428571428572,congelados
AH-98143,Gazpacho Don Simón 1l,CAT-1862,Sangría Don Simón,68.57142857142857,CAT-2823,Granizado de limón,66.66666666666667,CAT-0469,Gazpacho tradicional,63.1578947368421,alimentacion
AH-98145,Fideo chino de arroz sin gluten Shuang he brand 400g,CAT-1097,Pan de molde sin gluten blanco,62.33766233766234,CAT-0865,Papilla sin gluten crema de arroz Hero Solo +4 meses,57.14285714285714,CAT-0359,San Jacobos de cerdo sin gluten,56.41025641025641,alimentacion
