id,id_api,nombre_comercial,precio,precio_unidad,marca,url,imagen,disponible
DI-4224,42070,Banana granel 900 g aprox.,1.43,1.59€/kg,,https://www.dia.es/frutas/platanos-y-bananas/p/42070,https://www.dia.es/product_images/42070/42070_ISO_0_ES.jpg,True
DI-0267,12254,Fresón bandeja 500 g,1.99,3.98€/kg,,https://www.dia.es/frutas/frutos-rojos-y-del-bosque/p/12254,https://www.dia.es/product_images/12254/12254_ISO_0_ES.jpg,True
DI-0304,125621,Uva blanca sin semillas bandeja 400 g,2.69,6.73€/kg,,https://www.dia.es/frutas/uvas/p/125621,https://www.dia.es/product_images/125621/125621_ISO_0_ES.jpg,True
DI-2007,270541,Kiwi bandeja 700 g,2.79,3.99€/kg,,https://www.dia.es/frutas/frutas-tropicales/p/270541,https://www.dia.es/product_images/270541/270541_ISO_0_ES.jpg,True
DI-0701,159310,Pera conferencia bandeja 700 g,1.79,2.56€/kg,,https://www.dia.es/frutas/manzanas-y-peras/p/159310,https://www.dia.es/product_images/159310/159310_ISO_0_ES.jpg,True
DI-0842,171233,Manzana Golden bolsa 1 Kg,1.99,1.99€/kg,,https://www.dia.es/frutas/manzanas-y-peras/p/171233,https://www.dia.es/product_images/171233/171233_ISO_0_ES.jpg,True
DI-0799,166057,Mango bandeja 2 unidades,1.99,3.32€/kg,,https://www.dia.es/frutas/frutas-tropicales/p/166057,https://www.dia.es/product_images/166057/166057_ISO_0_ES.jpg,True
DI-3587,305811,Frutos rojos congelados Dia Fruticampo bolsa 300 g,1.59,5.30€/kg,Dia Fruticampo,https://www.dia.es/frutas/frutas-congeladas/p/305811,https://www.dia.es/product_images/305811/305811_ISO_0_ES.jpg,True
DI-0164,11464,Mandarina malla 1 Kg,1.89,1.89€/kg,,https://www.dia.es/frutas/naranjas-mandarinas-y-limones/p/11464,https://www.dia.es/product_images/11464/11464_ISO_0_ES.jpg,True
DI-4731,84,Mandarina granel 500 g aprox.,1.3,2.59€/kg,,https://www.dia.es/frutas/naranjas-mandarinas-y-limones/p/84,https://www.dia.es/product_images/84/84_ISO_0_ES.jpg,True
DI-0512,142776,Plátano de Canarias El afortunado 950 g aprox.,3.22,3.39€/kg,El afortunado,https://www.dia.es/frutas/platanos-y-bananas/p/142776,https://www.dia.es/product_images/142776/142776_ISO_0_ES.jpg,True
DI-1383,220373,Aguacate bandeja 450 g,1.85,4.11€/kg,,https://www.dia.es/frutas/frutas-tropicales/p/220373,https://www.dia.es/product_images/220373/220373_ISO_0_ES.jpg,True
DI-1141,190387,Arándanos vaso 170 g,2.99,17.59€/kg,,https://www.dia.es/frutas/frutos-rojos-y-del-bosque/p/190387,https://www.dia.es/product_images/190387/190387_ISO_0_ES.jpg,True
